KS201EW - Ethnic group,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
,,,,
2011 ward,All usual residents,White,Asian/Asian British,Black/African/Caribbean/Black British
E05001883 : Arleston,"3,635","2,970",447,58
E05001884 : Brookside,"6,923","6,521",96,161
E05001885 : Church Aston and Lilleshall,"3,223","3,116",77,6
E05001886 : College,"3,091","2,279",664,69
E05001887 : Cuckoo Oak,"5,404","5,115",132,38
E05001888 : Dawley Magna,"9,584","9,266",119,42
E05001889 : Donnington,"6,883","6,549",94,102
E05001890 : Dothill,"2,442","2,334",57,18
E05001891 : Edgmond,"3,322","3,218",79,6
E05001892 : Ercall,"3,121","2,920",119,19
E05001893 : Ercall Magna,"2,874","2,827",22,4
E05001894 : Hadley and Leegomery,"11,565","9,473","1,350",291
E05001895 : Haygate,"3,298","3,002",180,37
E05001896 : Horsehay and Lightmoor,"4,292","4,122",76,17
E05001897 : Ironbridge Gorge,"2,582","2,539",14,4
E05001898 : Ketley and Oakengates,"9,545","9,108",195,44
E05001899 : Lawley and Overdale,"5,227","4,781",294,29
E05001900 : Madeley,"5,329","5,105",128,18
E05001901 : Malinslee,"6,106","5,700",149,85
E05001902 : Muxton,"6,557","6,173",179,80
E05001903 : Newport East,"2,826","2,773",11,11
E05001904 : Newport North,"3,177","3,121",27,6
E05001905 : Newport South,"2,635","2,576",27,8
E05001906 : Newport West,"2,898","2,795",57,11
E05001907 : Park,"2,526","2,453",37,11
E05001908 : Priorslee,"6,325","5,448",670,39
E05001909 : St Georges,"6,084","5,856",76,61
E05001910 : Shawbirch,"3,239","3,086",71,30
E05001911 : The Nedge,"9,381","8,340",522,279
E05001912 : Woodside,"6,898","6,565",89,53
E05001913 : Wrockwardine,"5,912","5,638",164,31
E05001914 : Wrockwardine Wood and Trench,"6,679","6,012",420,85
E05006902 : Brereton and Ravenhill,"6,538","6,419",47,20
E05006903 : Cannock East,"7,063","6,946",46,12
E05006904 : Cannock North,"7,286","7,095",78,20
E05006905 : Cannock South,"7,673","7,415",112,51
E05006906 : Cannock West,"6,996","6,802",109,18
E05006907 : Etching Hill and The Heath,"6,777","6,656",44,7
E05006908 : Hagley,"4,655","4,522",77,18
E05006909 : Hawks Green,"7,628","7,389",104,35
E05006910 : Heath Hayes East and Wimblebury,"6,457","6,332",64,16
E05006911 : Hednesford Green Heath,"4,985","4,891",50,12
E05006912 : Hednesford North,"7,058","6,895",58,27
E05006913 : Hednesford South,"5,300","5,193",46,10
E05006914 : Norton Canes,"7,479","7,336",50,19
E05006915 : Rawnsley,"4,977","4,904",35,6
E05006916 : Western Springs,"6,590","6,461",62,9
E05006917 : Abbey,"2,865","2,843",10,0
E05006918 : Anglesey,"6,809","4,390","1,967",212
E05006919 : Bagots,"2,638","2,590",23,7
E05006920 : Branston,"7,231","6,603",447,56
E05006921 : Brizlincote,"5,385","5,194",91,42
E05006922 : Burton,"3,521","2,915",409,96
E05006923 : Churnet,"2,920","2,837",45,7
E05006924 : Crown,"3,389","3,210",65,56
E05006925 : Eton Park,"6,202","4,604","1,296",100
E05006926 : Heath,"6,198","6,123",28,2
E05006927 : Horninglow,"8,751","7,732",632,134
E05006928 : Needwood,"5,593","5,432",87,11
E05006929 : Rolleston on Dove,"3,267","3,205",34,2
E05006930 : Shobnall,"7,061","4,688","2,022",113
E05006931 : Stapenhill,"7,977","7,640",124,55
E05006932 : Stretton,"7,849","7,633",129,26
E05006933 : Town,"6,891","6,736",79,17
E05006934 : Tutbury and Outwoods,"5,897","5,680",142,15
E05006935 : Weaver,"2,052","2,036",9,4
E05006936 : Winshill,"8,466","8,036",205,63
E05006937 : Yoxall,"2,621","2,577",20,5
E05006938 : All Saints,"3,421","3,379",17,3
E05006939 : Alrewas and Fradley,"5,947","5,756",61,41
E05006940 : Armitage with Handsacre,"5,335","5,224",25,52
E05006941 : Boley Park,"4,844","4,668",116,16
E05006942 : Boney Hay,"3,054","2,992",18,8
E05006943 : Bourne Vale,"2,332","2,062",75,95
E05006944 : Burntwood Central,"3,053","3,009",16,6
E05006945 : Chadsmead,"3,780","3,675",50,3
E05006946 : Chase Terrace,"5,182","5,063",49,13
E05006947 : Chasetown,"3,885","3,822",21,4
E05006948 : Colton and Mavesyn Ridware,"1,799","1,783",5,2
E05006949 : Curborough,"5,037","4,937",53,15
E05006950 : Fazeley,"4,811","4,687",60,14
E05006951 : Hammerwich,"3,412","3,351",33,7
E05006952 : Highfield,"4,003","3,931",19,21
E05006953 : King's Bromley,"1,679","1,640",22,7
E05006954 : Leomansley,"7,098","6,855",87,37
E05006955 : Little Aston,"2,920","2,346",499,23
E05006956 : Longdon,"1,823","1,793",13,5
E05006957 : Mease and Tame,"3,586","3,547",15,2
E05006958 : St John's,"6,409","6,078",169,34
E05006959 : Shenstone,"3,326","3,218",69,15
E05006960 : Stonnall,"1,546","1,522",17,1
E05006961 : Stowe,"5,051","4,890",51,23
E05006962 : Summerfield,"3,857","3,792",20,13
E05006963 : Whittington,"3,464","3,379",43,21
E05006964 : Audley and Bignall End,"5,927","5,809",31,22
E05006965 : Bradwell,"6,403","6,214",83,35
E05006966 : Butt Lane,"5,641","5,554",21,14
E05006967 : Chesterton,"7,285","6,974",214,21
E05006968 : Clayton,"4,270","4,073",112,17
E05006969 : Cross Heath,"5,887","5,569",171,46
E05006970 : Halmerend,"3,764","3,707",20,9
E05006971 : Holditch,"4,694","4,588",40,17
E05006972 : Keele,"4,129","2,799",891,255
E05006973 : Kidsgrove,"6,827","6,723",28,18
E05006974 : Knutton and Silverdale,"4,313","4,138",95,17
E05006975 : Loggerheads and Whitmore,"6,948","6,766",99,11
E05006976 : Madeley,"4,222","4,132",30,9
E05006977 : May Bank,"6,236","5,979",148,26
E05006978 : Newchapel,"3,406","3,358",17,0
E05006979 : Porthill,"4,106","3,935",85,28
E05006980 : Ravenscliffe,"4,007","3,914",31,7
E05006981 : Seabridge,"5,602","5,233",253,33
E05006982 : Silverdale and Parksite,"3,617","3,525",26,8
E05006983 : Talke,"3,875","3,806",29,11
E05006984 : Thistleberry,"6,144","5,628",299,48
E05006985 : Town,"5,063","4,331",468,93
E05006986 : Westlands,"5,659","5,265",242,48
E05006987 : Wolstanton,"5,846","5,642",79,35
E05006988 : Bilbrook,"4,330","4,046",142,21
E05006989 : Brewood and Coven,"6,573","6,333",110,29
E05006990 : Cheslyn Hay North and Saredon,"4,285","4,169",50,11
E05006991 : Cheslyn Hay South,"3,837","3,748",38,8
E05006992 : Codsall North,"4,050","3,893",61,21
E05006993 : Codsall South,"4,115","3,891",145,21
E05006994 : Essington,"4,957","4,739",95,28
E05006995 : Featherstone and Shareshill,"5,741","5,136",248,154
E05006996 : Great Wyrley Landywood,"4,917","4,770",74,13
E05006997 : Great Wyrley Town,"6,143","6,019",47,18
E05006998 : Himley and Swindon,"2,033","1,994",21,7
E05006999 : Huntington and Hatherton,"5,137","5,000",65,11
E05007000 : Kinver,"7,225","7,042",72,5
E05007001 : Pattingham and Patshull,"2,246","2,180",25,4
E05007002 : Penkridge North East and Acton Trussell,"3,795","3,701",42,6
E05007003 : Penkridge South East,"4,505","4,417",37,10
E05007004 : Penkridge West,"2,049","2,005",15,7
E05007005 : Perton Dippons,"1,990","1,841",65,27
E05007006 : Perton East,"2,279","2,049",122,32
E05007007 : Perton Lakeside,"6,417","5,944",240,71
E05007008 : Trysull and Seisdon,"2,225","2,153",33,10
"E05007009 : Wheaton Aston, Bishopswood and Lapley","4,127","4,035",36,20
E05007010 : Wombourne North and Lower Penn,"6,566","6,181",262,25
E05007011 : Wombourne South East,"3,847","3,788",19,7
E05007012 : Wombourne South West,"4,742","4,626",58,12
E05007013 : Barlaston and Oulton,"4,170","4,068",42,13
E05007014 : Baswich,"4,477","4,257",136,21
E05007015 : Chartley,"1,870","1,830",15,8
E05007016 : Church Eaton,"2,275","2,239",16,2
E05007017 : Common,"4,434","4,100",164,81
E05007018 : Coton,"4,733","3,797",596,155
E05007019 : Eccleshall,"6,657","6,473",64,47
E05007020 : Forebridge,"5,182","4,620",286,79
E05007021 : Fulford,"5,931","5,796",70,22
E05007022 : Gnosall and Woodseaves,"6,395","6,325",25,3
E05007023 : Haywood and Hixon,"6,445","6,332",31,13
E05007024 : Highfields and Western Downs,"6,591","6,227",82,132
E05007025 : Holmcroft,"6,775","6,420",168,83
E05007026 : Littleworth,"7,256","6,506",417,124
E05007027 : Manor,"6,308","6,043",108,50
E05007028 : Milford,"5,142","4,799",229,36
E05007029 : Milwich,"1,954","1,925",12,2
E05007030 : Penkside,"4,587","4,315",123,52
E05007031 : Rowley,"4,540","4,253",164,41
E05007032 : St. Michael's,"4,990","4,871",60,6
E05007033 : Seighford,"3,476","3,407",26,20
E05007034 : Stonefield and Christchurch,"5,575","5,399",74,21
E05007035 : Swynnerton,"4,453","4,351",37,27
E05007036 : Tillington,"4,409","4,177",89,43
E05007037 : Walton,"5,820","5,677",61,11
E05007038 : Weeping Cross,"6,424","6,101",193,15
E05007039 : Alton,"1,377","1,358",7,0
E05007040 : Bagnall and Stanley,"1,591","1,571",11,2
E05007041 : Biddulph East,"6,378","6,278",17,19
E05007042 : Biddulph Moor,"1,640","1,634",0,0
E05007043 : Biddulph North,"4,963","4,925",24,0
E05007044 : Biddulph South,"1,641","1,626",5,0
E05007045 : Biddulph West,"5,270","5,208",31,1
E05007046 : Brown Edge and Endon,"4,881","4,833",17,3
E05007047 : Caverswall,"1,720","1,703",9,0
E05007048 : Cellarhead,"3,253","3,177",20,13
E05007049 : Cheadle North East,"3,560","3,519",16,1
E05007050 : Cheadle South East,"3,617","3,575",10,4
E05007051 : Cheadle West,"4,988","4,898",55,5
E05007052 : Checkley,"5,729","5,674",22,5
E05007053 : Cheddleton,"5,444","5,358",40,13
E05007054 : Churnet,"3,142","3,123",3,1
E05007055 : Dane,"1,553","1,541",2,2
E05007056 : Forsbrook,"5,095","5,029",18,15
E05007057 : Hamps Valley,"1,840","1,827",7,0
E05007058 : Horton,"1,809","1,794",5,1
E05007059 : Ipstones,"1,798","1,786",7,2
E05007060 : Leek East,"4,981","4,882",44,7
E05007061 : Leek North,"5,409","5,321",31,11
E05007062 : Leek South,"5,731","5,608",51,10
E05007063 : Leek West,"4,647","4,573",38,2
E05007064 : Manifold,"1,848","1,840",3,1
E05007065 : Werrington,"3,201","3,164",9,2
E05007066 : Amington,"7,919","7,706",82,24
E05007067 : Belgrave,"7,664","7,518",35,44
E05007068 : Bolehall,"7,554","7,387",71,23
E05007069 : Castle,"7,333","7,131",80,39
E05007070 : Glascote,"8,019","7,818",59,29
E05007071 : Mercian,"6,620","6,480",67,14
E05007072 : Spital,"7,109","6,898",95,30
E05007073 : Stonydelph,"7,862","7,586",82,71
E05007074 : Trinity,"7,375","7,186",101,26
E05007075 : Wilnecote,"9,358","9,051",91,93
E05007457 : Arley and Whitacre,"5,471","5,355",43,17
E05007458 : Atherstone Central,"3,945","3,852",55,5
E05007459 : Atherstone North,"3,408","3,358",23,11
E05007460 : Atherstone South and Mancetter,"3,650","3,576",30,5
E05007461 : Baddesley and Grendon,"3,991","3,932",25,5
E05007462 : Coleshill North,"3,233","3,149",27,19
E05007463 : Coleshill South,"3,248","3,160",29,16
E05007464 : Curdworth,"3,195","3,077",60,21
E05007465 : Dordon,"3,215","3,127",48,14
E05007466 : Fillongley,"3,338","3,240",52,9
E05007467 : Hartshill,"3,738","3,659",51,6
E05007468 : Hurley and Wood End,"3,922","3,850",38,4
E05007469 : Kingsbury,"3,730","3,657",24,9
E05007470 : Newton Regis and Warton,"3,504","3,457",24,3
E05007471 : Polesworth East,"3,517","3,461",22,9
E05007472 : Polesworth West,"3,465","3,423",10,11
E05007473 : Water Orton,"3,444","3,376",19,8
E05007474 : Abbey,"8,718","6,680","1,743",125
E05007475 : Arbury,"6,736","6,167",405,85
E05007476 : Attleborough,"7,676","7,098",402,51
E05007477 : Bar Pool,"7,452","6,986",268,79
E05007478 : Bede,"6,666","6,477",78,35
E05007479 : Bulkington,"6,146","5,962",128,11
E05007480 : Camp Hill,"7,321","7,048",117,79
E05007481 : Exhall,"8,006","7,123",614,87
E05007482 : Galley Common,"8,233","7,995",104,49
E05007483 : Heath,"7,473","6,862",397,71
E05007484 : Kingswood,"6,878","6,655",88,47
E05007485 : Poplar,"8,043","6,551","1,082",154
E05007486 : St Nicolas,"6,943","6,399",420,41
E05007487 : Slough,"7,041","6,705",248,22
E05007488 : Weddington,"7,256","6,903",253,17
E05007489 : Wem Brook,"7,787","6,273","1,262",80
E05007490 : Whitestone,"6,877","6,508",271,14
E05007491 : Admirals,"7,726","7,033",414,95
E05007492 : Avon and Swift,"2,920","2,807",67,19
E05007493 : Benn,"6,937","5,528",783,382
E05007494 : Bilton,"5,011","4,750",161,32
E05007495 : Brownsover North,"6,205","5,511",473,112
E05007496 : Brownsover South,"4,840","4,060",340,212
E05007497 : Caldecott,"5,865","5,334",276,118
E05007498 : Dunchurch and Knightlow,"5,951","5,774",82,34
E05007499 : Earl Craven and Wolston,"5,872","5,531",209,54
E05007500 : Eastlands,"5,915","5,397",324,78
E05007501 : Fosse,"3,776","3,644",72,23
E05007502 : Hillmorton,"5,276","5,015",131,37
E05007503 : Lawford and King's Newnham,"3,598","3,481",48,29
E05007504 : Leam Valley,"1,908","1,871",21,7
E05007505 : New Bilton,"7,760","6,615",548,285
E05007506 : Newbold,"6,754","5,705",484,305
E05007507 : Overslade,"5,790","5,332",247,77
E05007508 : Paddox,"3,748","3,503",134,41
E05007509 : Ryton-on-Dunsmore,"1,813","1,695",77,11
E05007510 : Wolvey,"2,410","1,979",334,36
E05008585 : Alcester,"6,083","5,958",54,12
E05007512 : Aston Cantlow,"1,886","1,838",19,4
E05007944 : Bardon,"2,228","2,194",12,1
E05008586 : Bidford and Salford,"7,051","6,942",40,9
E05007515 : Brailes,"2,143","2,129",2,3
E05007945 : Burton Dassett,"2,412","2,318",43,12
E05007517 : Claverdon,"2,274","2,233",8,4
E05008587 : Ettington,"2,402","2,345",21,6
E05007519 : Fenny Compton,"2,485","2,455",12,4
E05007520 : Harbury,"4,625","4,546",29,6
E05007947 : Henley,"4,382","4,319",22,3
E05008588 : Kineton,"4,320","4,241",34,7
E05007949 : Kinwarton,"2,068","2,032",22,0
E05007524 : Long Compton,"2,116","2,076",15,0
E05007525 : Long Itchington,"2,332","2,287",19,2
E05007526 : Quinton,"2,648","2,565",28,14
E05007527 : Sambourne,"1,858","1,788",39,9
E05007528 : Shipston,"5,038","4,953",37,6
E05008589 : Snitterfield,"2,198","2,151",19,6
E05007530 : Southam,"6,567","6,414",70,11
E05007531 : Stockton and Napton,"2,491","2,452",15,1
E05007532 : Stratford Alveston,"7,487","7,178",150,25
E05008590 : Stratford Avenue and New Town,"7,963","7,585",200,35
E05007534 : Stratford Guild and Hathaway,"7,636","7,185",298,19
E05007535 : Stratford Mount Pleasant,"4,359","4,184",68,20
E05007536 : Studley,"5,879","5,727",44,17
E05007951 : Tanworth,"3,821","3,703",73,9
E05008591 : Tredington,"2,308","2,279",14,1
E05008592 : Vale of the Red Horse,"2,287","2,245",15,2
E05008593 : Welford,"2,172","2,137",5,5
E05008594 : Wellesbourne,"6,966","6,848",39,11
E05007542 : Abbey,"7,565","7,185",226,23
E05007543 : Bishop's Tachbrook,"2,558","2,303",206,12
E05007544 : Brunswick,"9,931","8,101","1,269",129
E05007545 : Budbrooke,"6,171","5,961",111,19
E05007546 : Clarendon,"6,266","5,474",461,73
E05007547 : Crown,"5,624","5,058",289,74
E05007548 : Cubbington,"5,690","5,347",219,10
E05007549 : Lapworth,"2,954","2,868",51,6
E05007550 : Leek Wootton,"2,510","2,415",52,6
E05007551 : Manor,"8,345","7,631",457,47
E05007552 : Milverton,"9,166","8,105",678,72
E05007553 : Park Hill,"8,388","8,039",211,21
E05007554 : Radford Semele,"2,442","2,321",81,3
E05007555 : St John's,"7,463","7,192",136,20
E05007556 : Stoneleigh,"3,496","2,540",731,81
E05007557 : Warwick North,"8,318","7,526",491,60
E05007558 : Warwick South,"10,492","8,818","1,184",68
E05007559 : Warwick West,"11,304","10,371",551,73
E05007560 : Whitnash,"8,806","7,276","1,165",46
E05007561 : Willes,"10,159","8,184","1,376",130
E05001178 : Acocks Green,"28,378","17,959","7,343","1,402"
E05001179 : Aston,"32,286","4,309","17,681","8,255"
E05001180 : Bartley Green,"24,967","20,212","1,314","1,853"
E05001181 : Billesley,"26,536","20,596","3,503","1,037"
E05001182 : Bordesley Green,"33,937","4,925","23,075","3,447"
E05001183 : Bournville,"25,938","21,794","1,855","1,053"
E05001184 : Brandwood,"25,708","19,893","2,743","1,477"
E05001185 : Edgbaston,"24,426","14,107","6,170","2,168"
E05001186 : Erdington,"22,828","17,793","1,780","1,934"
E05001187 : Hall Green,"26,429","14,743","9,767",610
E05001188 : Handsworth Wood,"27,749","6,344","14,278","4,653"
E05001189 : Harborne,"23,001","15,090","4,930","1,405"
E05001190 : Hodge Hill,"28,026","12,482","11,519","2,455"
E05001191 : Kings Norton,"24,380","20,830",801,"1,253"
E05001192 : Kingstanding,"25,334","20,140","1,554","2,258"
E05001193 : Ladywood,"30,133","14,897","7,097","5,004"
E05001194 : Longbridge,"25,410","22,670",537,986
E05001195 : Lozells and East Handsworth,"31,074","3,348","18,873","6,797"
E05001196 : Moseley and Kings Heath,"25,669","15,758","6,500","1,438"
E05001197 : Nechells,"33,957","9,189","12,787","8,094"
E05001198 : Northfield,"25,707","22,820",764,914
E05001199 : Oscott,"24,615","20,160","1,842","1,715"
E05001200 : Perry Barr,"23,652","12,634","6,606","3,156"
E05001201 : Quinton,"24,174","16,905","3,385","1,998"
E05001202 : Selly Oak,"25,885","18,440","4,796","1,106"
E05001203 : Shard End,"26,794","21,957","1,508","1,462"
E05001204 : Sheldon,"21,817","18,524","1,827",682
E05001205 : Soho,"30,317","6,233","13,719","7,335"
E05001206 : South Yardley,"30,786","16,051","10,937","1,806"
E05001207 : Sparkbrook,"32,415","4,013","19,897","3,487"
E05001208 : Springfield,"31,391","6,664","21,218","1,524"
E05001209 : Stechford and Yardley North,"25,757","17,526","5,179","1,749"
E05001210 : Stockland Green,"24,319","14,559","4,365","3,563"
E05001211 : Sutton Four Oaks,"24,025","21,456","1,680",312
E05001212 : Sutton New Hall,"22,455","20,024","1,413",441
E05001213 : Sutton Trinity,"25,267","22,640","1,377",525
E05001214 : Sutton Vesey,"23,360","20,208","1,866",615
E05001215 : Tyburn,"25,297","18,966","2,467","2,207"
E05001216 : Washwood Heath,"32,921","4,033","24,524","2,847"
E05001217 : Weoley,"25,925","20,744","2,163","1,337"
E05001218 : Bablake,"15,746","14,194",971,213
E05001219 : Binley and Willenhall,"16,691","14,072",740,"1,439"
E05001220 : Cheylesmore,"15,860","12,474","2,317",514
E05001221 : Earlsdon,"15,390","12,592","2,090",217
E05001222 : Foleshill,"19,943","6,135","9,986","2,195"
E05001223 : Henley,"18,297","14,312","1,501","1,748"
E05001224 : Holbrook,"17,089","12,200","3,315",699
E05001225 : Longford,"18,538","13,819","2,907",903
E05001226 : Lower Stoke,"18,542","13,931","2,305","1,611"
E05001227 : Radford,"18,879","12,981","3,928",998
E05001228 : St Michael's,"24,119","12,297","6,518","3,381"
E05001229 : Sherbourne,"16,779","14,022","1,506",686
E05001230 : Upper Stoke,"18,373","12,656","3,661","1,120"
E05001231 : Wainbody,"14,980","10,233","3,978",174
E05001232 : Westwood,"18,537","15,826","1,621",531
E05001233 : Whoberley,"15,903","13,654","1,388",432
E05001234 : Woodlands,"16,476","15,393",427,352
E05001235 : Wyken,"16,818","13,238","2,439",551
E05001236 : Amblecote,"13,393","12,732",396,79
E05001237 : Belle Vale,"13,484","12,093",419,204
E05001238 : Brierley Hill,"13,935","12,606",819,193
E05001239 : Brockmoor and Pensnett,"12,923","11,853",624,132
E05001240 : Castle and Priory,"13,739","11,712","1,073",450
E05001241 : Coseley East,"12,357","11,484",409,219
E05001242 : Cradley and Wollescote,"13,440","11,369","1,451",129
E05001243 : Gornal,"12,992","12,661",89,75
E05001244 : Halesowen North,"12,173","10,088","1,483",195
E05001245 : Halesowen South,"12,159","11,183",627,119
E05001246 : Hayley Green and Cradley South,"11,862","11,032",311,74
E05001247 : Kingswinford North and Wall Heath,"12,561","12,254",128,47
E05001248 : Kingswinford South,"12,630","12,248",192,38
E05001249 : Lye and Stourbridge North,"12,346","10,352","1,714",75
"E05001250 : Netherton, Woodside and St Andrews","15,017","12,299","1,677",484
E05001251 : Norton,"11,841","11,470",179,27
E05001252 : Pedmore and Stourbridge East,"12,471","11,717",538,40
E05001253 : Quarry Bank and Dudley Wood,"13,441","12,518",475,152
E05001254 : St James's,"14,213","11,279","1,793",663
E05001255 : St Thomas's,"14,394","9,026","3,739",884
E05001256 : Sedgley,"12,087","11,624",216,94
