KS201EW - Ethnic group,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
,,,,
2011 ward,All usual residents,White,Asian/Asian British,Black/African/Caribbean/Black British
E05001659 : Talbot,"6,618","6,331",115,35
E05001660 : Tyldesley,"6,661","6,414",150,15
E05001661 : Victoria,"6,808","6,586",96,17
E05001662 : Warbreck,"6,666","6,454",101,22
E05001663 : Waterloo,"6,693","6,446",122,18
E05008610 : Alderley Edge,"4,780","4,493",140,36
E05008611 : Alsager,"11,775","11,497",121,18
E05008612 : Audlem,"4,795","4,728",27,4
E05008613 : Bollington,"8,310","8,174",55,16
E05008614 : Brereton Rural,"4,903","4,855",16,3
E05008615 : Broken Cross and Upton,"8,619","8,112",343,50
E05008616 : Bunbury,"4,792","4,747",16,4
E05008617 : Chelford,"3,858","3,760",45,9
E05008618 : Congleton East,"13,341","13,119",109,16
E05008619 : Congleton West,"13,141","12,839",173,28
E05008620 : Crewe Central,"5,308","4,919",161,81
E05008621 : Crewe East,"15,339","14,778",185,152
E05008622 : Crewe North,"4,834","4,676",59,42
E05008623 : Crewe St Barnabas,"5,659","5,428",94,26
E05008624 : Crewe South,"11,590","10,603",496,168
E05008625 : Crewe West,"10,640","10,167",157,73
E05008626 : Dane Valley,"9,160","8,989",74,10
E05008627 : Disley,"4,294","4,205",30,6
E05008628 : Gawsworth,"3,832","3,780",20,4
E05008629 : Handforth,"9,139","8,375",431,77
E05008630 : Haslington,"8,054","7,945",34,16
E05008631 : High Legh,"4,383","4,242",68,9
E05008632 : Knutsford,"13,191","12,729",233,36
E05008633 : Leighton,"5,414","5,204",113,14
E05008634 : Macclesfield Central,"9,018","8,449",361,54
E05008635 : Macclesfield East,"4,274","4,179",39,19
E05008636 : Macclesfield Hurdsfield,"4,518","4,373",78,14
E05008637 : Macclesfield South,"8,504","8,191",192,25
E05008638 : Macclesfield Tytherington,"8,821","8,516",205,16
E05008639 : Macclesfield West and Ivy,"8,290","8,057",106,40
E05008640 : Middlewich,"13,595","13,388",87,10
E05008641 : Mobberley,"4,734","4,618",53,12
E05008642 : Nantwich North and West,"8,617","8,462",57,22
E05008643 : Nantwich South and Stapeley,"8,807","8,600",93,33
E05008644 : Odd Rode,"8,313","8,223",24,9
E05008645 : Poynton East and Pott Shrigley,"7,688","7,582",60,7
E05008646 : Poynton West and Adlington,"8,507","8,309",111,9
E05008647 : Prestbury,"4,282","4,125",59,20
E05008648 : Sandbach Elworth,"4,412","4,315",47,15
E05008649 : Sandbach Ettiley Heath and Wheelock,"4,409","4,323",46,3
E05008650 : Sandbach Heath and East,"4,291","4,230",27,4
E05008651 : Sandbach Town,"4,864","4,759",46,7
E05008652 : Shavington,"3,822","3,758",22,9
E05008653 : Sutton,"4,311","4,255",14,1
E05008654 : Willaston and Rope,"4,731","4,656",24,10
E05008655 : Wilmslow Dean Row,"4,479","3,947",349,34
E05008656 : Wilmslow East,"4,257","3,891",262,16
E05008657 : Wilmslow Lacey Green,"4,718","4,405",148,56
E05008658 : Wilmslow West and Chorley,"9,717","9,344",179,24
E05008659 : Wistaston,"9,202","9,027",74,19
E05008660 : Wrenbury,"4,541","4,488",22,4
E05008661 : Wybunbury,"5,254","5,106",75,12
E05008662 : Blacon,"13,626","13,269",137,42
E05008663 : Boughton,"5,444","5,161",147,46
E05008664 : Chester City,"3,853","3,632",106,27
E05008665 : Chester Villages,"8,548","8,313",119,25
E05008666 : Davenham and Moulton,"13,569","13,318",112,26
E05008667 : Dodleston and Huntington,"3,958","3,854",45,6
E05008668 : Ellesmere Port Town,"9,103","8,781",162,39
E05008669 : Elton,"4,557","4,469",34,9
E05008670 : Farndon,"4,011","3,984",7,1
E05008671 : Frodsham,"9,077","8,886",95,14
E05008672 : Garden Quarter,"5,318","5,018",122,46
E05008673 : Gowy,"3,924","3,863",21,6
E05008674 : Grange,"4,649","4,569",10,14
E05008675 : Great Boughton,"8,984","8,708",136,28
E05008676 : Handbridge Park,"8,840","8,434",232,27
E05008677 : Hartford and Greenbank,"8,360","8,158",106,18
