KS501EW - Qualifications and students,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 and over,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
,,,,
2011 ward,All categories: Highest level of qualification,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 4 qualifications and above
E05001628 : Higher Croft,"5,843","1,772",939,986
E05001629 : Little Harwood,"4,926","1,684",705,749
E05001630 : Livesey with Pleasington,"5,601","1,141",617,"1,608"
E05001631 : Marsh House,"5,188","1,322",787,"1,058"
E05001632 : Meadowhead,"4,641","1,415",645,820
E05001633 : Mill Hill,"4,937","1,563",798,654
E05001634 : North Turton with Tockholes,"3,616",447,346,"1,630"
E05001635 : Queen's Park,"4,967","1,584",727,867
E05001636 : Roe Lee,"4,952","1,098",625,"1,271"
E05001637 : Shadsworth with Whitebirk,"6,141","2,340","1,025",594
E05001638 : Shear Brow,"5,776","1,916",824,"1,002"
E05001639 : Sudell,"5,468","1,935",855,706
E05001640 : Sunnyhurst,"4,982","1,099",741,"1,156"
E05001641 : Wensley Fold,"5,542","1,994",866,728
E05001642 : Whitehall,"3,344",649,464,890
E05001643 : Anchorsholme,"5,429","1,776",786,886
E05001644 : Bispham,"5,450","1,491",793,"1,074"
E05001645 : Bloomfield,"5,715","2,236",984,524
E05001646 : Brunswick,"5,647","1,879",934,786
E05001647 : Claremont,"6,111","2,306",970,682
E05001648 : Clifton,"5,498","1,931",944,620
E05001649 : Greenlands,"5,598","1,568",837,971
E05001650 : Hawes Side,"5,698","1,853",901,704
E05001651 : Highfield,"5,335","1,662",786,829
E05001652 : Ingthorpe,"5,504","1,694",829,857
E05001653 : Layton,"5,522","1,563",880,935
E05001654 : Marton,"5,593","1,326",877,"1,174"
E05001655 : Norbreck,"5,261","1,360",728,"1,134"
E05001656 : Park,"5,704","1,924",946,842
E05001657 : Squires Gate,"5,365","1,581",755,941
E05001658 : Stanley,"5,498","1,668",843,931
E05001659 : Talbot,"5,698","1,901",875,790
E05001660 : Tyldesley,"5,451","1,686",824,877
E05001661 : Victoria,"5,405","1,817",946,614
E05001662 : Warbreck,"5,542","1,548",853,"1,001"
E05001663 : Waterloo,"5,675","1,789",838,926
E05008610 : Alderley Edge,"4,001",529,358,"1,918"
E05008611 : Alsager,"9,781","1,813","1,050","3,422"
E05008612 : Audlem,"4,017",819,456,"1,432"
E05008613 : Bollington,"6,913","1,205",763,"2,653"
E05008614 : Brereton Rural,"4,044",774,438,"1,379"
E05008615 : Broken Cross and Upton,"6,872","1,054",782,"2,572"
E05008616 : Bunbury,"3,986",684,499,"1,352"
E05008617 : Chelford,"3,226",517,366,"1,277"
E05008618 : Congleton East,"10,889","2,379","1,415","3,204"
E05008619 : Congleton West,"10,995","2,464","1,375","3,188"
E05008620 : Crewe Central,"4,277","1,255",640,620
