KS501EW - Qualifications and students,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 and over,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
,,,,
2011 ward,All categories: Highest level of qualification,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 4 qualifications and above
E05008272 : Poundstock,"3,256",856,420,765
E05008273 : Probus,"3,213",617,412,987
E05008274 : Rame,"4,010",662,493,"1,349"
E05008275 : Redruth Central,"3,417",859,489,716
E05008276 : Redruth North,"3,428","1,062",578,488
E05008277 : Redruth South,"3,390",781,472,801
E05008278 : Roche,"3,171",906,513,470
E05008279 : Roseland,"2,906",531,339,977
E05008280 : St Agnes,"3,782",650,342,"1,461"
E05008281 : St Austell Bay,"3,660",835,426,"1,000"
E05008282 : St Austell Bethel,"3,847",979,592,690
E05008283 : St Austell Gover,"3,518",853,516,740
E05008284 : St Austell Poltair,"3,720","1,102",567,606
E05008285 : St Blaise,"3,726","1,146",599,534
E05008286 : St Buryan,"3,866",777,491,"1,174"
E05008287 : St Cleer,"3,737",805,453,"1,078"
E05008288 : St Columb,"4,094","1,002",616,850
E05008289 : St Day and Lanner,"3,676",891,502,905
E05008290 : St Dennis,"3,605","1,091",566,466
E05008291 : St Endellion,"2,833",713,328,778
E05008292 : St Enoder,"3,650",900,564,664
E05008293 : St Germans,"3,565",569,428,"1,258"
E05008294 : St Issey,"3,349",646,497,922
E05008295 : St Ive,"3,563",764,455,994
E05008296 : St Ives North,"3,396",828,472,817
E05008297 : St Ives South,"3,328",770,435,885
E05008298 : St Just in Penwith,"4,079",878,518,"1,151"
E05008299 : St Keverne and Meneage,"4,521",810,553,"1,223"
E05008300 : St Mewan,"3,154",733,401,769
E05008301 : St Stephen,"3,780","1,083",562,642
E05008302 : St Teath,"3,272",810,482,733
E05008303 : Saltash Burraton,"2,951",386,402,895
E05008304 : Saltash Essa,"3,132",651,441,668
E05008305 : Saltash Pill,"3,537",695,409,995
E05008306 : Saltash St Stephens,"3,920",808,483,"1,022"
E05008307 : Stithians,"4,235",878,477,"1,245"
E05008308 : Stokeclimsland,"3,178",593,388,"1,054"
E05008309 : Threemilestone and Gloweth,"3,451",511,466,"1,054"
E05008310 : Tintagel,"3,435",839,505,835
E05008311 : Torpoint East,"3,115",766,513,559
E05008312 : Torpoint West,"3,210",589,472,674
E05008313 : Troon and Beacon,"4,219","1,149",612,701
E05008314 : Truro Boscawen,"4,160",573,460,"1,634"
E05008315 : Truro Moresk,"3,852",715,408,"1,334"
E05008316 : Truro Tregolls,"4,155",931,552,"1,200"
E05008317 : Truro Trehaverne,"3,446",859,457,903
E05008318 : Tywardreath,"4,047",962,628,879
E05008319 : Wadebridge East,"3,536",755,472,897
E05008320 : Wadebridge West,"3,371",881,413,782
E05008321 : Wendron,"4,053",774,521,"1,189"
E05008323 : St. Agnes,139,14,20,54
E05008324 : St. Martin's,115,10,11,40
E05008325 : St. Mary's,"1,453",233,157,467
E05008326 : Tresco,150,7,13,52
E05008601 : Backwell,"4,754",676,519,"1,960"
E05008602 : Banwell and Winscombe,"8,975","1,618","1,210","2,611"
E05002009 : Blagdon and Churchill,"3,137",445,345,"1,263"
E05002010 : Clevedon Central,"2,686",592,365,709
E05002011 : Clevedon East,"2,726",531,421,679
E05002012 : Clevedon North,"2,285",392,229,926
E05002013 : Clevedon South,"2,541",491,440,548
E05002014 : Clevedon Walton,"2,376",409,199,972
E05002015 : Clevedon West,"2,557",427,365,680
E05002016 : Clevedon Yeo,"2,578",426,420,577
E05002017 : Congresbury,"2,878",522,332,989
E05002018 : Easton-in-Gordano,"2,266",280,204,"1,022"
E05002019 : Gordano,"3,405",488,382,"1,380"
E05008603 : Hutton and Locking,"5,369","1,204",731,"1,278"
E05008604 : Kewstoke,"2,774",502,411,758
E05002022 : Nailsea East,"5,399",665,687,"1,955"
E05002023 : Nailsea North and West,"7,622","1,503","1,144","1,996"
E05002024 : Pill,"2,881",649,434,794
E05002025 : Portishead Central,"3,294",463,372,"1,288"
E05002026 : Portishead Coast,"2,423",352,254,"1,000"
E05002027 : Portishead East,"4,405",594,596,"1,475"
E05002028 : Portishead Redcliffe Bay,"2,660",397,325,"1,032"
E05002029 : Portishead South and North Weston,"2,505",497,363,695
E05002030 : Portishead West,"2,670",398,356,878
E05002031 : Weston-super-Mare Central,"5,359","1,611",754,961
E05008605 : Weston-super-Mare Clarence and Uphill,"7,760","1,844",978,"2,000"
E05008606 : Weston-super-Mare East,"10,380","2,074","1,701","2,121"
E05002034 : Weston-super-Mare Milton and Old Worle,"7,573","1,682","1,053","1,785"
E05008607 : Weston-super-Mare North Worle,"7,559","1,251","1,246","1,633"
E05002036 : Weston-super-Mare South,"7,970","2,761","1,397",913
E05002037 : Weston-super-Mare South Worle,"7,895","1,976","1,277","1,329"
E05002038 : Weston-super-Mare West,"7,738","1,825",978,"1,990"
E05008608 : Winford,"2,468",457,330,739
E05002040 : Wraxall and Long Ashton,"6,187",914,622,"2,751"
E05008609 : Wrington,"2,337",388,265,913
E05002042 : Yatton,"7,522","1,235","1,047","2,441"
E05002078 : Budshead,"10,229","2,542","1,637","1,950"
E05002079 : Compton,"10,684","1,610","1,080","3,318"
E05002080 : Devonport,"11,716","3,070","2,008","1,823"
E05002081 : Drake,"10,520",894,632,"2,232"
E05002082 : Efford and Lipson,"11,457","2,676","1,574","2,133"
E05002083 : Eggbuckland,"10,889","2,432","1,573","2,359"
E05002084 : Ham,"10,458","3,514","1,643","1,329"
E05002085 : Honicknowle,"11,036","3,869","1,829","1,156"
E05002086 : Moor View,"10,004","2,781","1,443","1,581"
E05002087 : Peverell,"11,018","1,533","1,316","3,778"
E05002088 : Plympton Chaddlewood,"6,491",849,"1,036","1,536"
E05002089 : Plympton Erle,"7,321","1,588","1,022","1,707"
E05002090 : Plympton St Mary,"10,529","2,124","1,360","2,463"
E05002091 : Plymstock Dunstone,"10,226","2,034","1,299","2,516"
E05002092 : Plymstock Radford,"10,216","2,087","1,322","2,720"
E05002093 : St Budeaux,"10,408","3,141","1,751","1,268"
E05002094 : St Peter and the Waterfront,"13,950","3,174","1,558","3,518"
E05002095 : Southway,"10,368","2,808","1,554","1,844"
E05002096 : Stoke,"11,758","2,147","1,422","3,192"
E05002097 : Sutton and Mount Gould,"12,224","2,200","1,482","2,956"
E05002131 : Alderney,"9,166","2,898","1,524","1,318"
E05002132 : Branksome East,"5,294",892,696,"1,448"
E05002133 : Branksome West,"6,053","1,229",962,"1,375"
E05002134 : Broadstone,"8,563","1,308",976,"2,910"
E05002135 : Canford Cliffs,"7,802","1,463",778,"2,943"
E05002136 : Canford Heath East,"5,799","1,192","1,175",929
E05002137 : Canford Heath West,"5,493",993,930,"1,286"
E05002138 : Creekmoor,"7,526","1,910","1,181","1,446"
E05002139 : Hamworthy East,"5,041","1,315",809,929
E05002140 : Hamworthy West,"5,548","1,477",999,914
E05002141 : Merley and Bearwood,"8,583","1,417","1,289","2,434"
E05002142 : Newtown,"10,156","2,753","1,656","1,791"
E05002143 : Oakdale,"9,475","2,294","1,469","1,944"
E05002144 : Parkstone,"9,056","1,582",987,"3,253"
E05002145 : Penn Hill,"9,241","1,325","1,005","3,731"
E05002146 : Poole Town,"9,190","2,060","1,137","2,492"
E05002043 : Almondsbury,"3,251",471,370,"1,278"
E05002044 : Bitton,"2,878",558,378,833
E05002045 : Boyd Valley,"6,125","1,148",830,"1,937"
E05002046 : Bradley Stoke Central and Stoke Lodge,"6,386",739,896,"2,203"
E05002047 : Bradley Stoke North,"2,984",317,400,"1,105"
E05002048 : Bradley Stoke South,"7,000",550,"1,017","2,675"
E05002049 : Charfield,"3,859",706,557,"1,118"
E05002050 : Chipping Sodbury,"5,650","1,076",797,"1,592"
E05002051 : Cotswold Edge,"2,788",504,361,966
E05002052 : Dodington,"5,826",997,"1,266",912
E05002053 : Downend,"8,777","1,463","1,113","2,877"
E05002054 : Emersons Green,"9,367","1,202","1,262","3,168"
E05002055 : Filton,"8,883","1,782","1,257","2,244"
E05002056 : Frampton Cotterell,"5,891","1,061",803,"1,829"
E05002057 : Frenchay and Stoke Park,"5,969",456,434,"1,933"
E05002058 : Hanham,"8,565","1,907","1,330","1,779"
E05002059 : Kings Chase,"9,180","2,644","1,537","1,446"
E05002060 : Ladden Brook,"3,068",524,368,"1,038"
E05002061 : Longwell Green,"5,693","1,082",863,"1,368"
E05002062 : Oldland Common,"6,219","1,167","1,103","1,327"
E05002063 : Parkwall,"6,613","1,475","1,140","1,333"
E05002064 : Patchway,"7,300","1,811","1,327","1,258"
E05002065 : Pilning and Severn Beach,"2,916",623,479,652
E05002066 : Rodway,"8,821","2,094","1,472","1,680"
E05002067 : Severn,"3,012",360,338,"1,293"
E05002068 : Siston,"3,793",720,572,983
E05002069 : Staple Hill,"6,096","1,546",945,"1,290"
E05002070 : Stoke Gifford,"9,636","1,357","1,423","2,967"
E05002071 : Thornbury North,"6,274",988,714,"2,223"
E05002072 : Thornbury South and Alveston,"6,238","1,019",800,"2,133"
E05002073 : Westerleigh,"3,205",802,429,782
E05002074 : Winterbourne,"5,718","1,139",746,"1,728"
E05002075 : Woodstock,"9,139","2,070","1,613","1,667"
E05002076 : Yate Central,"6,684","1,710","1,157","1,118"
E05002077 : Yate North,"9,033","1,550","1,564","2,070"
E05002147 : Abbey Meads,"14,887","1,089","2,416","5,041"
E05002148 : Blunsdon,"2,797",592,369,786
E05002149 : Central,"9,338","1,714","1,675","1,791"
E05002150 : Covingham and Nythe,"7,372","1,603","1,454","1,304"
E05002151 : Dorcan,"7,016","1,550","1,494","1,254"
E05002152 : Eastcott,"9,109","1,291","1,186","3,083"
E05002153 : Freshbrook and Grange Park,"7,882","1,245","1,484","1,874"
E05002154 : Gorse Hill and Pinehurst,"7,600","2,306","1,520",918
E05002155 : Haydon Wick,"8,190","1,407","1,456","1,901"
E05002156 : Highworth,"6,856","1,444",978,"1,813"
E05002157 : Moredon,"7,797","2,159","1,561","1,115"
E05002158 : Old Town and Lawn,"10,158","1,402","1,167","3,997"
E05002159 : Parks,"7,945","2,783","1,710",685
E05002160 : Penhill,"4,753","1,839","1,059",318
E05002161 : Ridgeway,"2,685",350,339,"1,061"
E05002162 : St Margaret,"8,468","1,939","1,516","1,569"
E05002163 : St Philip,"7,485","2,022","1,382","1,174"
E05002164 : Shaw and Nine Elms,"7,398",792,"1,286","2,138"
E05002165 : Toothill and Westlea,"6,171","1,331","1,226","1,097"
E05002166 : Walcot,"6,057","1,736","1,130",905
E05002167 : Western,"9,193","1,887","1,712","1,839"
E05002168 : Wroughton and Chiseldon,"8,617","1,943","1,137","2,434"
E05002098 : Berry Head-with-Furzeham,"8,095","2,199","1,185","1,800"
E05002099 : Blatchcombe,"8,198","2,382","1,454","1,261"
E05002100 : Churston-with-Galmpton,"5,853","1,429",684,"1,527"
E05002101 : Clifton-with-Maidenway,"5,870","1,531",921,"1,085"
E05002102 : Cockington-with-Chelston,"8,667","1,897","1,230","2,163"
E05002103 : Ellacombe,"5,857","1,444",976,"1,012"
E05002104 : Goodrington-with-Roselands,"5,832","1,442",889,"1,104"
E05002105 : Preston,"8,633","2,162","1,150","1,922"
E05002106 : Roundham-with-Hyde,"6,594","2,144","1,053",963
E05002107 : St Marychurch,"9,421","2,515","1,397","1,966"
E05002108 : St Mary's-with-Summercombe,"6,125","1,690",904,"1,173"
E05002109 : Shiphay-with-the-Willows,"7,511","1,557","1,164","1,761"
E05002110 : Tormohun,"9,775","2,427","1,628","1,767"
E05002111 : Watcombe,"5,757","1,869",927,873
E05002112 : Wellswood,"7,102","1,527",836,"2,187"
E05008327 : Aldbourne and Ramsbury,"4,254",668,510,"1,611"
E05008328 : Alderbury and Whiteparish,"3,506",551,404,"1,339"
E05008329 : Amesbury East,"4,527",602,768,"1,249"
E05008330 : Amesbury West,"3,908","1,082",604,767
E05008331 : Bourne and Woodford Valley,"3,525",562,385,"1,254"
E05008332 : Box and Colerne,"4,126",561,562,"1,507"
E05008333 : Bradford-on-Avon North,"3,854",614,335,"1,689"
E05008334 : Bradford-on-Avon South,"3,955",708,404,"1,696"
E05008335 : Brinkworth,"3,633",546,405,"1,438"
"E05008336 : Bromham, Rowde and Potterne","4,014",850,550,"1,107"
"E05008337 : Bulford, Allington and Figheldean","4,806",694,855,"1,183"
E05008338 : Burbage and the Bedwyns,"3,873",652,449,"1,392"
E05008339 : By Brook,"3,606",538,380,"1,463"
E05008340 : Calne Central,"3,534",795,550,820
E05008341 : Calne Chilvester and Abberd,"3,933",867,609,851
E05008342 : Calne North,"3,375",621,547,828
E05008343 : Calne Rural,"3,546",569,425,"1,319"
E05008344 : Calne South and Cherhill,"3,861",597,540,"1,228"
E05008345 : Chippenham Cepen Park and Derriads,"3,315",394,474,"1,135"
E05008346 : Chippenham Cepen Park and Redlands,"3,914",676,569,"1,145"
E05008347 : Chippenham Hardenhuish,"3,559",648,547,"1,023"
E05008348 : Chippenham Hardens and England,"3,423",542,519,972
E05008349 : Chippenham Lowden and Rowden,"3,919",800,611,964
E05008350 : Chippenham Monkton,"3,075",627,364,965
E05008351 : Chippenham Pewsham,"3,655",354,599,"1,103"
E05008352 : Chippenham Queens and Sheldon,"3,586",786,629,782
E05008353 : Corsham Pickwick,"4,194",805,606,"1,308"
E05008354 : Corsham Town,"3,868",814,476,"1,172"
E05008355 : Corsham Without and Box Hill,"4,352",618,547,"1,531"
E05008356 : Cricklade and Latton,"4,012",752,565,"1,234"
E05008357 : Devizes and Roundway South,"3,506",673,466,"1,085"
E05008358 : Devizes East,"3,388",788,556,704
E05008359 : Devizes North,"3,480",908,502,832
E05008360 : Downton and Ebble Valley,"4,030",814,440,"1,387"
E05008361 : Durrington and Larkhill,"5,755",830,"1,020","1,295"
E05008362 : Ethandune,"3,684",671,479,"1,235"
E05008363 : Fovant and Chalke Valley,"3,461",561,382,"1,309"
E05008364 : Hilperton,"3,818",673,559,"1,093"
E05008365 : Holt and Staverton,"3,605",502,403,"1,371"
E05008366 : Kington,"4,040",584,481,"1,551"
"E05008367 : Laverstock, Ford and Old Sarum","3,278",669,365,"1,054"
E05008368 : Ludgershall and Perham Down,"4,578",875,841,830
E05008369 : Lyneham,"4,338",569,617,"1,140"
E05008370 : Malmesbury,"4,258",802,534,"1,539"
E05008371 : Marlborough East,"3,271",780,433,927
E05008372 : Marlborough West,"3,536",492,374,"1,433"
E05008373 : Melksham Central,"4,167","1,122",791,685
E05008374 : Melksham North,"3,475",902,687,522
E05008375 : Melksham South,"4,106",929,694,821
E05008376 : Melksham Without North,"3,591",637,446,"1,180"
E05008377 : Melksham Without South,"4,015",666,725,929
E05008378 : Mere,"3,626",889,499,934
E05008379 : Minety,"3,825",549,435,"1,552"
E05008380 : Nadder and East Knoyle,"3,537",670,424,"1,156"
E05008381 : Pewsey,"3,857",749,487,"1,230"
E05008382 : Pewsey Vale,"3,627",619,444,"1,266"
E05008383 : Purton,"3,452",811,483,931
E05008384 : Redlynch and Landford,"3,892",705,403,"1,455"
E05008385 : Roundway,"3,399",456,533,"1,068"
E05008386 : Salisbury Bemerton,"4,894","1,410",880,775
E05008387 : Salisbury Fisherton and Bemerton Village,"3,591",752,474,979
E05008388 : Salisbury Harnham,"3,999",723,443,"1,403"
E05008389 : Salisbury St Edmund and Milford,"4,307",774,426,"1,653"
E05008390 : Salisbury St Francis and Stratford,"4,595",875,516,"1,652"
E05008391 : Salisbury St Mark's and Bishopdown,"3,491",731,480,"1,061"
E05008392 : Salisbury St Martin's and Cathedral,"4,914",791,539,"1,836"
E05008393 : Salisbury St Paul's,"4,269",730,509,"1,437"
E05008394 : Sherston,"3,912",645,406,"1,578"
E05008395 : Southwick,"3,580",664,542,975
E05008396 : Summerham and Seend,"3,551",620,438,"1,254"
E05008397 : The Collingbournes and Netheravon,"3,439",569,480,"1,077"
E05008398 : The Lavingtons and Erlestoke,"4,761",783,601,"1,436"
E05008399 : Tidworth,"7,055",749,"1,482","1,130"
E05008400 : Till and Wylye Valley,"3,689",653,423,"1,217"
E05008401 : Tisbury,"3,583",692,409,"1,240"
E05008402 : Trowbridge Adcroft,"4,102","1,073",613,806
E05008403 : Trowbridge Central,"4,364",825,663,"1,077"
E05008404 : Trowbridge Drynham,"3,221",619,506,694
E05008405 : Trowbridge Grove,"3,624",794,640,690
E05008406 : Trowbridge Lambrok,"3,863","1,005",686,713
E05008407 : Trowbridge Park,"3,411",833,568,680
E05008408 : Trowbridge Paxcroft,"3,269",472,470,975
E05008409 : Urchfont and The Cannings,"3,561",545,465,"1,251"
E05008410 : Warminster Broadway,"3,873",921,551,910
E05008411 : Warminster Copheap and Wylye,"4,071",660,539,"1,209"
E05008412 : Warminster East,"4,476","1,144",667,940
E05008413 : Warminster West,"4,180",870,672,874
E05008414 : Warminster Without,"3,526",563,432,"1,193"
E05008415 : West Selkley,"3,514",537,420,"1,298"
E05008416 : Westbury East,"4,021",834,640,905
E05008417 : Westbury North,"3,492",939,571,567
E05008418 : Westbury West,"4,304",881,862,867
E05008419 : Wilton and Lower Wylye Valley,"4,028","1,022",518,"1,117"
E05008420 : Winsley and Westwood,"3,305",456,304,"1,508"
E05008421 : Winterslow,"3,182",463,323,"1,267"
E05008422 : Wootton Bassett East,"3,636",540,486,"1,256"
E05008423 : Wootton Bassett North,"3,505",900,650,701
E05008424 : Wootton Bassett South,"4,552",937,657,"1,277"
E05003459 : Axminster Rural,"2,128",501,331,515
E05003460 : Axminster Town,"3,840","1,029",554,828
E05003461 : Beer and Branscombe,"1,579",359,186,462
E05003462 : Broadclyst,"3,943",785,530,"1,201"
E05003463 : Budleigh,"5,171",953,536,"1,976"
E05003464 : Clyst Valley,"2,017",371,240,688
E05003465 : Coly Valley,"3,827",773,453,"1,178"
E05003466 : Dunkeswell,"1,699",459,246,373
E05003467 : Exe Valley,"1,707",316,204,593
E05003468 : Exmouth Brixington,"5,259","1,150",782,"1,251"
E05003469 : Exmouth Halsdon,"5,637","1,150",840,"1,580"
E05003470 : Exmouth Littleham,"6,198","1,526",725,"1,847"
E05003471 : Exmouth Town,"5,843","1,088",894,"1,515"
E05003472 : Exmouth Withycombe Raleigh,"5,845","1,400",973,"1,182"
E05008542 : Feniton and Buckerell,"1,849",358,288,525
E05008543 : Honiton St Michael's,"5,635","1,385",877,"1,225"
E05003475 : Honiton St Paul's,"4,049","1,024",570,895
E05003476 : Newbridges,"2,059",437,240,669
E05003477 : Newton Poppleford and Harpford,"1,772",317,230,540
E05003478 : Otterhead,"1,872",348,252,607
E05008544 : Ottery St Mary Rural,"3,454",523,378,"1,428"
E05003480 : Ottery St Mary Town,"3,957",780,509,"1,211"
E05003481 : Raleigh,"1,792",313,213,626
E05003482 : Seaton,"6,296","1,764",754,"1,460"
E05003483 : Sidmouth Rural,"1,925",347,192,745
E05003484 : Sidmouth Sidford,"5,456","1,306",769,"1,376"
E05003485 : Sidmouth Town,"4,650",939,421,"1,663"
E05003486 : Tale Vale,"2,035",367,233,684
E05003487 : Trinity,"2,156",362,247,776
E05008545 : Whimple,"1,961",265,197,718
E05003489 : Woodbury and Lympstone,"4,408",527,525,"1,627"
E05003490 : Yarty,"1,983",375,262,609
E05003491 : Alphington,"7,275","1,541","1,092","1,874"
E05003492 : Cowick,"4,617","1,246",790,892
E05003493 : Duryard,"4,760",287,288,"1,111"
E05003494 : Exwick,"7,109","1,427","1,269","1,576"
E05003495 : Heavitree,"4,873",805,525,"1,677"
E05003496 : Mincinglake,"4,419","1,162",728,831
E05003497 : Newtown,"5,279",726,421,"1,812"
E05003498 : Pennsylvania,"4,503",713,471,"1,604"
E05003499 : Pinhoe,"5,133","1,291",761,"1,177"
E05003500 : Polsloe,"5,860",618,501,"1,984"
E05003501 : Priory,"7,246","2,168","1,162","1,500"
E05003502 : St David's,"6,079",800,646,"2,055"
E05003503 : St James,"6,451",555,428,"1,730"
E05003504 : St Leonard's,"4,344",467,360,"2,353"
E05003505 : St Loyes,"5,063",774,785,"1,520"
E05003506 : St Thomas,"5,342","1,025",774,"1,479"
E05003507 : Topsham,"4,655",829,517,"1,863"
E05003508 : Whipton & Barton,"6,058","1,722",949,"1,253"
E05008546 : Boniface,"3,140",755,451,717
E05003510 : Bradninch,"1,569",328,228,508
E05003511 : Cadbury,"1,313",193,117,517
E05003512 : Canonsleigh,"2,623",523,307,832
E05003513 : Castle,"3,499",853,499,763
E05003514 : Clare and Shuttern,"2,918",613,395,894
E05003515 : Cranmore,"4,156","1,123",610,860
E05003516 : Cullompton North,"3,242",813,531,609
E05003517 : Cullompton Outer,"1,675",289,204,589
E05003518 : Cullompton South,"2,995",812,481,542
E05003519 : Halberton,"1,652",302,213,566
E05003520 : Lawrence,"3,148",768,458,783
E05003521 : Lower Culm,"4,717","1,118",650,"1,143"
E05003522 : Lowman,"5,109","1,145",801,"1,098"
E05008547 : Newbrooke,"1,281",259,142,496
E05003524 : Sandford and Creedy,"2,796",536,330,965
