KS402EW - Tenure,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,,
,,,,,
population,All households,,,,
units,Households,,,,
date,2011,,,,
rural urban,Total,,,,
,,,,,
2011 ward,All households,Owned,Owned: Owned outright,Social rented,Private rented
E05005739 : Shipdham,891,681,387,103,87
E05005740 : Springvale and Scarning,"1,966","1,496",695,179,258
E05005741 : Swaffham,"3,258","2,107","1,380",632,446
E05005742 : Swanton Morley,935,654,394,65,199
E05005743 : Taverner,937,779,432,56,82
E05005744 : Templar,"1,297",851,336,197,195
E05005745 : Thetford-Abbey,"2,255",948,356,872,398
E05005746 : Thetford-Castle,"1,042",588,330,115,318
E05005747 : Thetford-Guildhall,"3,287","2,317",886,91,795
E05005748 : Thetford-Saxon,"3,087","1,643",708,"1,012",393
E05005749 : Two Rivers,"1,779","1,366",739,215,145
E05005750 : Upper Wensum,993,675,392,118,172
E05005751 : Upper Yare,"1,035",832,486,84,91
E05005752 : Watton,"3,226","2,310","1,442",328,540
E05005753 : Wayland,907,674,363,50,139
E05005754 : Weeting,"1,062",777,423,80,183
E05005755 : West Guiltcross,936,699,418,77,135
E05005756 : Wissey,"1,068",809,533,125,108
E05005757 : Acle,"1,285",963,612,131,148
E05005758 : Aylsham,"3,347","2,461","1,575",423,397
E05005759 : Blofield with South Walsham,"2,390","1,896","1,066",237,221
E05005760 : Brundall,"2,492","2,020","1,150",170,261
E05005761 : Burlingham,"1,131",876,446,162,69
E05005762 : Buxton,"1,081",815,435,81,147
E05005763 : Coltishall,"1,165",807,449,155,187
E05005764 : Drayton North,"1,270",910,272,116,220
E05005765 : Drayton South,"1,008",850,565,61,84
E05005766 : Eynesford,"1,364",918,484,196,211
E05005767 : Great Witchingham,"1,067",778,450,95,162
E05005768 : Hellesdon North West,"2,637","2,178","1,389",274,160
E05005769 : Hellesdon South East,"2,233","1,958","1,135",57,193
E05005770 : Hevingham,"1,149",938,540,68,111
E05005771 : Horsford and Felthorpe,"1,889","1,504",640,132,227
E05005772 : Marshes,"1,324",998,543,168,131
E05005773 : Old Catton and Sprowston West,"3,678","2,920","1,534",352,367
E05005774 : Plumstead,"1,228","1,030",479,85,79
E05005775 : Reepham,"1,169",845,465,112,198
E05005776 : Spixworth with St Faiths,"2,336","1,946","1,072",171,180
E05005777 : Sprowston Central,"2,364","1,811",955,323,190
E05005778 : Sprowston East,"3,160","2,839","1,792",46,221
E05005779 : Taverham North,"2,084","1,618",507,162,268
E05005780 : Taverham South,"2,017","1,788","1,017",50,158
E05005781 : Thorpe St Andrew North West,"3,362","2,738","1,562",333,234
E05005782 : Thorpe St Andrew South East,"2,998","2,247",983,219,492
E05005783 : Wroxham,"2,108","1,691",963,188,203
E05005784 : Bradwell North,"2,732","2,377","1,277",109,189
E05005785 : Bradwell South and Hopton,"2,962","2,253","1,219",363,285
E05005786 : Caister North,"2,087","1,745","1,039",68,243
E05005787 : Caister South,"2,051","1,574",994,209,223
E05005788 : Central and Northgate,"3,641","1,562",837,745,"1,265"
E05005789 : Claydon,"3,462","1,720",859,"1,242",436
E05005790 : East Flegg,"2,117","1,749","1,127",132,191
E05005791 : Fleggburgh,"1,018",784,430,100,92
E05005792 : Gorleston,"2,379","1,734",996,120,496
E05005793 : Lothingland,"2,323","1,980","1,070",128,183
E05005794 : Magdalen,"3,056","1,509",762,"1,216",240
E05005795 : Nelson,"3,763","1,159",627,"1,330","1,205"
E05005796 : Ormesby,"1,842","1,574",953,91,147
E05005797 : St Andrews,"2,233","1,373",681,289,542
E05005798 : Southtown and Cobholm,"2,299","1,150",494,386,730
E05005799 : West Flegg,"2,135","1,670",977,178,242
E05005800 : Yarmouth North,"1,979","1,160",682,549,217
E05005801 : Airfield,"1,801",995,584,112,663
E05005802 : Brancaster,665,451,360,77,101
E05005803 : Burnham,844,517,389,153,139
E05005804 : Clenchwarton,925,777,447,75,58
E05005805 : Denton,"3,251","2,223","1,186",331,548
E05005806 : Dersingham,"2,240","1,726","1,152",205,273
E05005807 : Docking,837,536,336,144,122
E05005808 : Downham Old Town,"1,246",698,395,223,296
E05005809 : East Downham,"1,229",815,335,183,201
E05005810 : Emneth with Outwell,"1,978","1,542",836,205,194
E05005811 : Fairstead,"2,586","1,202",378,780,508
E05005812 : Gayton,984,699,406,140,119
E05005813 : Gaywood Chase,"2,033","1,233",609,390,377
E05005814 : Gaywood North Bank,"3,122","2,566","1,247",193,321
E05005815 : Grimston,990,821,465,64,79
E05005816 : Heacham,"2,300","1,794","1,272",223,227
E05005817 : Hilgay with Denver,996,701,369,119,147
E05005818 : Hunstanton,"2,661","1,887","1,407",268,454
E05005819 : Mershe Lande,"1,015",848,457,93,58
E05005820 : North Downham,"1,014",799,553,19,173
E05005821 : North Lynn,"2,413",962,398,973,407
E05005822 : North Wootton,976,833,443,36,97
E05005823 : Old Gaywood,814,619,287,95,88
E05005824 : Priory,"1,078",694,416,155,182
E05005825 : Rudham,984,649,429,126,162
E05005826 : St Lawrence,999,765,408,95,114
E05005827 : St Margarets with St Nicholas,"2,561",790,473,846,856
E05005828 : Snettisham,"1,928","1,462","1,028",170,247
E05005829 : South and West Lynn,"1,957","1,147",547,422,340
E05005830 : South Downham,"1,148",984,806,96,54
E05005831 : South Wootton,"1,801","1,601",941,42,134
E05005832 : Spellowfields,"1,921","1,456",764,261,174
E05005833 : Springwood,793,651,313,29,105
E05005834 : Upwell and Delph,"1,991","1,509",814,214,221
E05005835 : Valley Hill,"1,008",535,335,126,244
E05005836 : Walpole,907,736,354,86,75
E05005837 : Walton,"1,039",849,464,87,78
E05005838 : Watlington,"1,021",796,358,82,121
E05005839 : West Winch,"2,000","1,632",942,160,176
E05005840 : Wiggenhall,858,663,346,88,82
E05005841 : Wimbotsham with Fincham,"1,096",815,459,93,157
E05005842 : Wissey,967,729,400,114,106
E05005843 : Astley,934,661,403,83,167
E05005844 : Briston,"1,067",751,416,143,146
E05008556 : Chaucer,"1,059",779,575,105,143
E05005846 : Corpusty,"1,033",716,460,149,140
E05005847 : Cromer Town,"1,897","1,041",740,210,607
E05005848 : Erpingham,"1,011",770,477,87,136
E05005849 : Gaunt,"1,082",811,537,145,103
E05005850 : Glaven Valley,964,635,482,146,141
E05005851 : Happisburgh,"1,085",833,526,77,142
E05005852 : High Heath,927,705,537,122,79
E05005853 : Holt,"1,807","1,219",966,334,205
E05005854 : Hoveton,952,702,506,133,89
E05005855 : Lancaster North,"1,642","1,182",682,209,208
E05005856 : Lancaster South,"1,842","1,222",765,373,208
E05005857 : Mundesley,"1,938","1,433",963,208,261
E05005858 : North Walsham East,"1,903","1,270",777,410,181
E05005859 : North Walsham North,"1,854","1,329",715,214,288
E05005860 : North Walsham West,"1,840","1,255",745,279,261
E05005861 : Poppyland,"1,054",813,558,63,151
E05005862 : Priory,"1,894","1,102",854,385,317
E05005863 : Roughton,975,751,463,97,94
E05005864 : Scottow,"1,036",692,327,100,228
E05005865 : St Benet,982,759,533,110,93
E05005866 : Sheringham North,"1,751","1,173",809,160,368
E05005867 : Sheringham South,"1,736","1,371","1,002",135,208
E05005868 : Stalham and Sutton,"1,991","1,346",763,289,316
E05005869 : Suffield Park,"1,826","1,288",890,292,215
E05005870 : The Raynhams,"1,123",760,427,78,235
E05008557 : The Runtons,984,813,555,46,107
E05005872 : Walsingham,"1,008",554,372,165,230
E05005873 : Waterside,"1,907","1,412",971,268,176
E05005874 : Waxham,957,724,458,56,149
E05005875 : Wensum,"1,011",704,442,127,146
E05005876 : Worstead,974,717,387,106,126
E05005877 : Bowthorpe,"4,708","1,906",726,"1,921",795
E05005878 : Catton Grove,"4,736","2,251",895,"1,575",855
E05005879 : Crome,"4,219","2,287","1,176","1,590",280
E05005880 : Eaton,"3,933","2,956","1,871",459,460
E05005881 : Lakenham,"4,358","1,841",863,"1,940",517
E05005882 : Mancroft,"5,708","1,485",729,"2,649","1,472"
E05005883 : Mile Cross,"4,673","1,542",551,"2,350",695
E05005884 : Nelson,"4,096","2,248","1,059",223,"1,574"
E05005885 : Sewell,"4,866","2,469",857,788,"1,534"
E05005886 : Thorpe Hamlet,"5,956","2,165","1,010","1,558","2,125"
E05005887 : Town Close,"5,381","2,364","1,276","1,367","1,535"
E05005888 : University,"2,901","1,076",633,"1,285",436
E05005889 : Wensum,"4,784","1,852",817,"1,997",811
E05005890 : Abbey,"1,443",917,558,202,264
E05005891 : Brooke,"1,100",894,542,96,88
E05005892 : Bunwell,"1,111",900,486,110,70
E05005893 : Dickleburgh,"1,171",898,458,114,129
E05005894 : Ditchingham and Broome,"1,017",759,461,98,137
E05005895 : Easton,"1,084",856,403,85,102
E05005896 : Forncett,"1,099",898,491,79,96
E05005897 : Hempnall,"1,042",822,457,111,76
E05005898 : Hingham and Deopham,"1,299",980,589,180,117
E05005899 : New Costessey,"2,334","1,977","1,161",136,170
E05005900 : Newton Flotman,"1,094",839,419,150,89
E05005901 : Northfields,"1,320",922,545,227,150
E05005902 : Old Costessey,"3,123","1,967",782,703,356
E05005903 : Poringland with the Framinghams,"2,079","1,692",928,178,180
E05005904 : Rockland,"1,168",954,560,91,98
E05005905 : Rustens,"1,113",839,380,86,142
E05005906 : Scole,"1,029",773,456,86,133
E05005907 : Stoke Holy Cross,"1,254",929,519,125,164
E05005908 : Stratton,"2,274","1,668",724,274,245
E05005909 : Tasburgh,955,821,454,48,70
E05005910 : Thurlton,"1,115",905,509,72,122
E05005911 : Town,"1,366","1,092",539,92,152
E05005912 : Wicklewood,995,792,404,75,108
E05005913 : Beck Vale,980,678,398,137,133
E05005914 : Bressingham and Burston,"1,121",836,487,120,127
E05005915 : Chedgrave and Thurton,"1,104",844,520,115,101
E05005916 : Cringleford,"2,161","1,721",955,153,247
E05005917 : Cromwells,"1,041",752,385,134,125
E05005918 : Diss,"3,589","2,252","1,379",610,645
E05005919 : Earsham,"1,033",795,487,113,98
E05005920 : Gillingham,"1,203",896,530,111,161
E05005921 : Harleston,"2,176","1,476",889,327,278
E05005922 : Hethersett,"2,507","1,913","1,012",277,271
E05005923 : Loddon,"1,179",828,452,205,120
E05005924 : Mulbarton,"2,124","1,656",800,194,234
E05005925 : Roydon,"1,006",814,444,51,118
E05007076 : Alton,"1,686","1,302",738,183,154
E05007077 : Berners,"1,692","1,288",677,149,216
E05007078 : Boxford,901,705,423,99,78
E05007079 : Brett Vale,899,610,363,144,105
E05007080 : Brook,"1,651","1,293",736,128,200
E05007081 : Bures St Mary,743,544,324,91,76
E05007082 : Chadacre,833,656,357,75,84
E05007083 : Dodnash,"1,471","1,178",739,125,141
E05007084 : Glemsford and Stanstead,"1,605","1,231",674,138,213
E05007085 : Great Cornard North,"1,794","1,217",622,331,204
E05007086 : Great Cornard South,"1,770","1,249",495,289,203
E05007087 : Hadleigh North,"1,866","1,042",605,387,384
E05007088 : Hadleigh South,"1,608","1,183",627,227,170
E05007089 : Holbrook,803,552,335,74,91
E05007090 : Lavenham,884,572,391,177,101
E05007091 : Leavenheath,764,667,378,34,54
E05007092 : Long Melford,"1,759","1,175",706,270,270
E05007093 : Lower Brett,896,697,415,69,100
E05007094 : Mid Samford,"1,633","1,449",857,57,110
E05007095 : Nayland,819,578,370,100,111
E05007096 : North Cosford,955,692,435,130,103
E05007097 : Pinewood,"1,923","1,369",435,248,291
E05007098 : South Cosford,918,698,427,93,95
E05007099 : Sudbury East,"1,938","1,230",661,370,299
E05007100 : Sudbury North,"1,832","1,226",620,389,179
E05007101 : Sudbury South,"2,216","1,231",730,379,546
E05007102 : Waldingfield,"1,663","1,347",721,156,136
E05007103 : All Saints,"1,809",962,459,177,616
E05007104 : Brandon East,"2,615","1,609",909,338,569
E05007105 : Brandon West,"1,663","1,091",554,242,302
E05007106 : Eriswell and The Rows,"2,795","1,227",627,160,"1,036"
E05007107 : Exning,871,539,249,149,147
E05007108 : Great Heath,"1,785",957,393,453,329
E05007109 : Iceni,775,452,224,93,191
E05007110 : Lakenheath,"2,096","1,353",730,188,505
E05007111 : Manor,796,535,278,83,155
E05007112 : Market,"1,970","1,048",539,357,499
E05007113 : Red Lodge,"1,748",937,247,196,525
E05007114 : St Mary's,"2,572","1,436",788,581,467
E05007115 : Severals,"3,153","1,482",592,684,757
E05007116 : South,728,546,318,38,97
E05007117 : Alexandra,"4,501","1,934",735,641,"1,830"
E05007118 : Bixley,"3,017","2,548","1,524",100,329
E05007119 : Bridge,"3,920","1,748",694,"1,122",967
E05007120 : Castle Hill,"3,034","2,560","1,391",183,257
E05007121 : Gainsborough,"3,588","1,933",812,"1,221",369
E05007122 : Gipping,"3,898","1,564",580,"1,415",828
E05007123 : Holywells,"3,573","2,035",867,218,"1,257"
E05007124 : Priory Heath,"3,570","1,862",682,"1,103",524
E05007125 : Rushmere,"3,296","2,304","1,057",623,319
E05007126 : St John's,"3,921","2,497","1,018",417,948
E05007127 : St Margaret's,"3,403","2,271","1,193",213,868
E05007128 : Sprites,"2,993","1,715",876,922,298
E05007129 : Stoke Park,"3,226","1,673",868,"1,298",210
E05007130 : Westgate,"4,363","1,793",630,836,"1,657"
E05007131 : Whitehouse,"3,777","2,104",743,"1,002",579
E05007132 : Whitton,"3,218","1,926","1,053","1,057",181
E05007133 : Bacton and Old Newton,"1,011",790,431,76,100
E05007134 : Badwell Ash,"1,046",803,452,99,116
E05007135 : Barking and Somersham,921,721,412,84,93
E05007136 : Bramford and Blakenham,"1,766","1,412",759,146,177
E05007137 : Claydon and Barham,"1,908","1,539",762,172,170
E05007138 : Debenham,"1,029",752,414,125,126
E05007139 : Elmswell and Norton,"2,235","1,712",809,289,198
E05007140 : Eye,969,654,402,184,102
E05007141 : Fressingfield,985,727,436,119,100
E05007142 : Gislingham,"1,085",877,486,77,108
E05007143 : Haughley and Wetherden,949,656,368,180,50
E05007144 : Helmingham and Coddenham,910,656,324,65,165
E05007145 : Hoxne,868,633,392,107,103
E05007146 : Mendlesham,961,730,406,123,85
E05007147 : Needham Market,"2,123","1,523",826,264,296
E05007148 : Onehouse,903,714,334,104,70
E05007149 : Palgrave,922,751,427,82,72
E05007150 : Rattlesden,866,675,385,99,72
E05007151 : Rickinghall and Walsham,"1,963","1,495",825,197,220
E05007152 : Ringshall,"1,082",712,399,70,273
E05007153 : Stowmarket Central,"2,178","1,596",927,253,290
E05007154 : Stowmarket North,"3,939","2,756",905,446,633
E05007155 : Stowmarket South,"2,033","1,407",675,403,192
E05007156 : Stowupland,"1,008",760,450,175,57
E05007157 : Stradbroke and Laxfield,"1,136",813,498,162,123
E05007158 : The Stonhams,918,779,428,48,76
E05007159 : Thurston and Hessett,"1,799","1,479",756,114,154
E05007160 : Wetheringsett,989,764,423,86,108
E05007161 : Woolpit,835,648,352,116,50
E05007162 : Worlingworth,969,728,413,79,136
E05007163 : Abbeygate,"2,539","1,303",783,386,797
E05007164 : Bardwell,"1,079",698,359,130,218
E05007165 : Barningham,"1,112",847,491,150,93
E05007166 : Barrow,966,726,410,121,105
E05007167 : Cavendish,863,670,416,72,95
E05007168 : Chedburgh,868,715,421,76,69
E05007169 : Clare,950,654,403,149,129
E05007170 : Eastgate,"1,303",656,382,310,291
E05007171 : Fornham,861,678,433,105,54
E05007172 : Great Barton,894,762,457,53,63
E05007173 : Haverhill East,"3,079","2,025",773,586,422
E05007174 : Haverhill North,"3,176","2,048",877,721,327
E05007175 : Haverhill South,"2,251","1,219",424,667,326
E05007176 : Haverhill West,"2,134","1,594",455,292,223
E05007177 : Horringer and Whelnetham,934,715,399,96,90
E05007178 : Hundon,923,736,402,74,89
E05007179 : Ixworth,889,622,303,142,102
E05007180 : Kedington,798,661,341,57,66
E05007181 : Minden,"2,012","1,371",816,392,207
E05007182 : Moreton Hall,"3,148","2,245",755,161,665
E05007183 : Northgate,"1,050",498,239,452,82
E05007184 : Pakenham,"1,044",465,261,104,451
E05007185 : Risby,"1,008",729,420,101,125
E05007186 : Risbygate,"2,458","1,246",614,436,716
E05007187 : Rougham,975,660,384,146,126
E05007188 : St Olaves,"1,906",948,365,755,164
E05007189 : Southgate,"1,932","1,473",882,250,188
E05007190 : Stanton,"1,098",823,500,129,112
E05007191 : Westgate,"1,821","1,606","1,004",31,160
E05007192 : Wickhambrook,909,653,372,133,101
E05007193 : Withersfield,822,580,296,44,142
E05007194 : Aldeburgh,"1,708","1,267","1,000",218,174
E05007195 : Earl Soham,877,668,394,71,106
E05007196 : Farlingaye,855,629,368,113,91
E05007197 : Felixstowe East,"1,798","1,568","1,078",98,113
E05007198 : Felixstowe North,"1,958","1,236",653,410,285
E05007199 : Felixstowe South,"1,940","1,200",686,251,464
E05007200 : Felixstowe South East,"2,045","1,533",976,89,390
E05007201 : Felixstowe West,"2,951","1,644",767,831,427
E05007202 : Framlingham,"1,944","1,357",835,244,267
E05007203 : Grundisburgh,967,753,463,110,80
E05007204 : Hacheston,852,588,364,87,156
E05007205 : Hollesley with Eyke,871,642,361,65,139
E05007206 : Kesgrave East,"3,935","3,084",993,166,651
E05007207 : Kesgrave West,"1,701","1,429",981,150,106
E05007208 : Kyson,886,529,331,262,79
E05007209 : Leiston,"2,749","1,717",969,545,437
E05007210 : Martlesham,"2,198","1,779","1,125",78,317
E05007211 : Melton and Ufford,"2,159","1,647","1,013",234,238
E05007212 : Nacton,"1,938","1,575",869,72,246
E05007213 : Orford and Tunstall,836,569,382,92,140
E05007214 : Otley,894,722,433,87,71
E05007215 : Peasenhall,913,681,461,93,108
E05007216 : Rendlesham,"1,311",919,304,93,279
E05007217 : Riverside,948,729,521,103,98
E05007218 : Rushmere St Andrew,"2,498","2,291","1,298",59,134
E05007219 : Saxmundham,"2,209","1,418",826,471,251
E05007220 : Seckford,"1,103",745,552,104,229
E05007221 : Snape,863,650,424,78,118
E05007222 : Sutton,"1,071",646,353,83,309
E05007223 : Trimleys with Kirton,"2,980","2,278","1,141",259,409
E05007224 : Walberswick and Wenhaston,903,704,520,83,88
E05007225 : Wickham Market,959,620,407,233,86
E05007226 : Witnesham,833,675,410,65,70
E05007227 : Yoxford,905,701,516,69,111
E05007228 : Beccles North,"2,432","1,476",975,336,547
E05007229 : Beccles South,"2,170","1,462",816,461,210
E05007230 : Blything,949,683,435,151,97
E05007231 : Bungay,"2,265","1,496",866,360,357
E05007232 : Carlton,"1,934","1,523",853,178,211
E05007233 : Carlton Colville,"3,355","2,772","1,161",150,395
E05007234 : Gunton and Corton,"1,998","1,678","1,106",116,175
E05007235 : Halesworth,"2,298","1,636","1,111",316,299
E05007236 : Harbour,"3,714","1,662",780,677,"1,323"
E05007237 : Kessingland,"2,302","1,676",971,319,256
E05007238 : Kirkley,"3,187","1,745",821,442,965
E05007239 : Lothingland,897,667,365,48,162
E05007240 : Normanston,"3,062","1,823",945,674,527
E05007241 : Oulton,"1,810","1,348",724,262,171
E05007242 : Oulton Broad,"2,122","1,705","1,060",122,279
E05007243 : Pakefield,"3,187","2,315","1,499",395,409
E05007244 : St Margaret's,"3,357","2,143","1,205",932,236
E05007245 : Southwold and Reydon,"1,847","1,368","1,035",264,151
E05007246 : The Saints,925,748,454,75,80
E05007247 : Wainford,896,678,417,63,138
E05007248 : Whitton,"3,216","2,389","1,519",530,261
