KS402EW - Tenure,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,,
,,,,,
population,All households,,,,
units,Households,,,,
date,2011,,,,
rural urban,Total,,,,
,,,,,
2011 ward,All households,Owned,Owned: Owned outright,Social rented,Private rented
E05008656 : Wilmslow East,"1,864","1,545",894,52,236
E05008657 : Wilmslow Lacey Green,"1,866","1,290",602,315,214
E05008658 : Wilmslow West and Chorley,"4,133","3,464","1,785",137,476
E05008659 : Wistaston,"3,927","3,525","1,854",156,214
E05008660 : Wrenbury,"1,846","1,391",773,135,279
E05008661 : Wybunbury,"2,067","1,741",799,64,239
E05008662 : Blacon,"5,830","3,068","1,313","2,250",400
E05008663 : Boughton,"2,884","1,226",518,544,980
E05008664 : Chester City,"2,218",717,369,674,758
E05008665 : Chester Villages,"3,425","2,941","1,632",157,290
E05008666 : Davenham and Moulton,"5,631","4,353","1,790",579,560
E05008667 : Dodleston and Huntington,"1,659","1,257",603,52,278
