KS611EW to KS613EW - NS-SeC by sex,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 to 74,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
sex,All persons,,,
,,,,
2011 ward,All categories: NS-SeC,"1. Higher managerial, administrative and professional occupations",7. Routine occupations,8. Never worked and long-term unemployed
E05001581 : Halton Castle,"4,556",184,911,467
E05001582 : Daresbury,"3,338",579,209,56
E05001583 : Ditton,"5,327",262,865,347
E05001584 : Farnworth,"5,403",607,463,138
E05001585 : Grange,"4,897",177,902,400
E05001586 : Hale,"1,410",141,141,33
E05001587 : Halton Brook,"4,756",209,877,359
E05001588 : Halton Lea,"4,774",140,938,473
E05001589 : Halton View,"5,092",258,731,279
E05001590 : Heath,"4,332",413,485,165
E05001591 : Hough Green,"5,110",284,794,304
E05001592 : Kingsway,"4,837",215,883,381
E05001593 : Mersey,"5,581",317,888,373
E05001594 : Norton North,"5,046",482,638,212
E05001595 : Norton South,"4,839",173,977,438
E05001596 : Riverside,"4,010",141,768,369
E05001597 : Windmill Hill,"1,745",38,380,220
E05001598 : Appleton,"7,701","1,613",422,249
E05001599 : Bewsey and Whitecross,"9,177",588,"1,826",702
E05001600 : Birchwood,"8,225",909,"1,002",350
E05001601 : Burtonwood and Winwick,"4,677",511,512,231
"E05001602 : Culcheth, Glazebury and Croft","8,666","1,234",849,451
E05001603 : Fairfield and Howley,"9,741",566,"1,815",604
E05001604 : Grappenhall and Thelwall,"6,815","1,187",441,113
E05001605 : Great Sankey North,"4,681",542,401,74
E05001606 : Great Sankey South,"7,980",758,876,219
"E05001607 : Hatton, Stretton and Walton","2,242",505,92,43
