QS611EW - Approximated Social Grade,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,,
,,,,,
population,All Household Reference Persons aged 16 to 64,,,,
units,Persons,,,,
date,2011,,,,
rural urban,Total,,,,
,,,,,
2011 ward,Approximated social grade,Approximated social grade AB,Approximated social grade C1,Approximated social grade C2,Approximated social grade DE
E05008144 : Bowbrook,"1,391",329,493,272,297
E05008145 : Bridgnorth East and Astley Abbotts,"2,046",550,603,463,430
E05008146 : Bridgnorth West and Tasley,"2,087",549,567,501,470
E05008147 : Broseley,"1,488",324,379,435,350
E05008148 : Brown Clee,"1,065",298,319,295,153
E05008149 : Burnell,"1,162",391,334,289,148
E05008150 : Castlefields and Ditherington,"1,492",214,360,363,555
E05008151 : Cheswardine,"1,186",304,380,273,229
E05008152 : Chirbury and Worthen,890,201,232,292,165
E05008153 : Church Stretton and Craven Arms,"2,356",582,589,666,519
E05008154 : Clee,"1,244",269,306,413,256
E05008155 : Cleobury Mortimer,"1,915",478,535,541,361
E05008156 : Clun,"1,048",245,230,378,195
E05008157 : Copthorne,"1,101",424,372,182,123
E05008158 : Corvedale,"1,031",285,273,307,166
E05008159 : Ellesmere Urban,"1,121",213,260,319,329
E05008160 : Harlescott,"1,493",106,327,429,631
E05008161 : Highley,"1,039",166,219,329,325
E05008162 : Hodnet,"1,032",260,282,279,211
E05008163 : Llanymynech,"1,074",250,336,306,182
E05008164 : Longden,"1,085",285,295,281,224
E05008165 : Loton,"1,125",259,336,353,177
E05008166 : Ludlow East,"1,222",176,243,355,448
E05008167 : Ludlow North,"1,119",225,305,286,303
E05008168 : Ludlow South,"1,207",226,312,368,301
E05008169 : Market Drayton East,"1,415",299,402,297,417
E05008170 : Market Drayton West,"2,641",427,746,618,850
E05008171 : Meole,"1,213",304,300,297,312
E05008172 : Rea Valley,"1,157",267,296,288,306
E05008173 : Monkmoor,"1,312",137,343,365,467
E05008174 : Much Wenlock,"1,115",339,289,286,201
E05008175 : Oswestry East,"2,828",343,774,824,887
E05008176 : Oswestry South,"1,372",317,410,296,349
E05008177 : Oswestry West,"1,263",181,316,305,461
E05008178 : Porthill,"1,304",466,459,189,190
E05008179 : Prees,"1,145",258,348,317,222
E05008180 : Quarry and Coton Hill,"1,720",486,520,327,387
E05008181 : Radbrook,"1,288",354,479,218,237
E05008182 : Ruyton and Baschurch,"1,063",336,290,259,178
E05008183 : St Martin's,"1,235",233,320,374,308
E05008184 : St Oswald,"1,253",274,361,353,265
"E05008185 : Gobowen, Selattyn and Weston Rhyn","1,838",373,514,495,456
E05008186 : Severn Valley,"1,257",385,377,280,215
E05008187 : Shawbury,"1,232",316,425,285,206
E05008188 : Shifnal North,"1,403",312,423,332,336
E05008189 : Shifnal South and Cosford,"1,375",414,568,234,159
E05008190 : Sundorne,"1,164",102,256,399,407
E05008191 : Tern,"1,197",320,356,317,204
E05008192 : The Meres,"1,218",364,342,317,195
E05008193 : Underdale,"1,392",267,361,359,405
E05008194 : Wem,"2,342",482,614,684,562
E05008195 : Whitchurch North,"2,208",357,553,603,695
E05008196 : Whitchurch South,"1,230",208,326,356,340
E05008197 : Whittington,"1,154",267,340,329,218
E05008198 : Worfield,"1,032",326,297,242,167
E05008714 : Abbey Hulton and Townsend,"2,993",193,602,793,"1,405"
"E05008715 : Baddeley, Milton and Norton","5,192",654,"1,369","1,558","1,611"
E05008716 : Bentilee and Ubberley,"3,558",122,546,874,"2,016"
E05008717 : Birches Head and Central Forest Park,"4,039",408,"1,100","1,091","1,440"
E05008718 : Blurton East,"1,541",155,394,394,598
E05008719 : Blurton West and Newstead,"2,277",203,511,497,"1,066"
E05008720 : Boothen and Oak Hill,"2,163",290,634,448,791
E05008721 : Bradeley and Chell Heath,"1,721",145,345,448,783
E05008722 : Broadway and Longton East,"1,759",152,407,564,636
E05008723 : Burslem Central,"2,306",196,565,468,"1,077"
E05008724 : Burslem Park,"1,697",145,417,470,665
E05008725 : Dresden and Florence,"1,544",204,400,371,569
E05008726 : Eaton Park,"1,369",117,352,418,482
E05008727 : Etruria and Hanley,"2,330",200,623,385,"1,122"
E05008728 : Fenton East,"2,300",151,551,613,985
E05008729 : Fenton West and Mount Pleasant,"2,137",160,619,520,838
E05008730 : Ford Green and Smallthorne,"1,996",248,553,508,687
E05008731 : Goldenhill and Sandyford,"1,794",167,440,467,720
E05008732 : Great Chell and Packmoor,"3,091",351,770,953,"1,017"
E05008733 : Hanford and Trentham,"3,413",898,"1,183",697,635
E05008734 : Hanley Park and Shelton,"1,924",124,985,167,648
E05008735 : Hartshill and Basford,"2,434",426,902,445,661
E05008736 : Hollybush and Longton West,"1,673",127,344,466,736
E05008737 : Joiner's Square,"2,039",170,623,399,847
E05008738 : Lightwood North and Normacot,"1,502",227,360,339,576
E05008739 : Little Chell and Stanfield,"1,974",166,400,514,894
E05008740 : Meir Hay,"1,540",173,409,475,483
E05008741 : Meir North,"1,826",94,307,451,974
E05008742 : Meir Park,"1,498",369,523,320,286
E05008743 : Meir South,"1,772",135,349,425,863
E05008744 : Moorcroft,"1,674",133,387,330,824
E05008745 : Penkhull and Stoke,"2,347",444,769,468,666
E05008746 : Sandford Hill,"2,147",164,525,579,879
E05008747 : Sneyd Green,"1,587",169,421,444,553
E05008748 : Springfields and Trent Vale,"2,289",273,624,500,892
E05008749 : Tunstall,"2,095",160,467,472,996
E05008750 : Weston Coyney,"1,414",160,356,436,462
E05001882 : Apley Castle,902,310,287,168,137
E05001883 : Arleston,"1,051",119,240,227,465
E05001884 : Brookside,"2,237",221,520,577,919
E05001885 : Church Aston and Lilleshall,848,271,286,160,131
E05001886 : College,938,184,232,171,351
E05001887 : Cuckoo Oak,"1,604",142,349,396,717
E05001888 : Dawley Magna,"3,216",419,856,887,"1,054"
E05001889 : Donnington,"2,064",224,491,509,840
E05001890 : Dothill,773,145,221,176,231
E05001891 : Edgmond,693,236,225,131,101
E05001892 : Ercall,881,269,283,148,181
E05001893 : Ercall Magna,764,182,246,185,151
E05001894 : Hadley and Leegomery,"3,503",438,892,859,"1,314"
E05001895 : Haygate,"1,126",169,304,253,400
E05001896 : Horsehay and Lightmoor,"1,343",366,470,287,220
E05001897 : Ironbridge Gorge,876,338,271,162,105
E05001898 : Ketley and Oakengates,"2,990",429,820,769,972
E05001899 : Lawley and Overdale,"1,737",335,512,415,475
E05001900 : Madeley,"1,728",254,456,422,596
E05001901 : Malinslee,"1,919",155,396,485,883
E05001902 : Muxton,"2,057",473,729,414,441
E05001903 : Newport East,795,185,282,149,179
E05001904 : Newport North,909,306,311,136,156
E05001905 : Newport South,746,148,269,162,167
E05001906 : Newport West,878,183,327,163,205
E05001907 : Park,670,104,227,176,163
E05001908 : Priorslee,"1,845",667,670,259,249
E05001909 : St Georges,"1,998",288,594,530,586
E05001910 : Shawbirch,"1,014",275,368,218,153
E05001911 : The Nedge,"2,919",405,726,696,"1,092"
E05001912 : Woodside,"2,078",152,404,502,"1,020"
E05001913 : Wrockwardine,"1,685",515,570,332,268
E05001914 : Wrockwardine Wood and Trench,"1,909",211,513,508,677
E05006902 : Brereton and Ravenhill,"1,921",230,449,527,715
E05006903 : Cannock East,"2,276",189,568,649,870
E05006904 : Cannock North,"2,150",153,465,648,884
E05006905 : Cannock South,"2,520",221,673,703,923
E05006906 : Cannock West,"2,011",436,661,505,409
E05006907 : Etching Hill and The Heath,"2,022",287,588,555,592
E05006908 : Hagley,"1,438",199,372,394,473
E05006909 : Hawks Green,"2,581",620,917,643,401
E05006910 : Heath Hayes East and Wimblebury,"2,056",335,597,620,504
E05006911 : Hednesford Green Heath,"1,580",249,490,484,357
E05006912 : Hednesford North,"2,336",268,573,727,768
E05006913 : Hednesford South,"1,598",300,496,488,314
E05006914 : Norton Canes,"2,261",337,616,672,636
E05006915 : Rawnsley,"1,523",288,444,444,347
E05006916 : Western Springs,"2,039",288,539,572,640
E05006917 : Abbey,802,258,234,193,117
E05006918 : Anglesey,"2,228",234,426,421,"1,147"
E05006919 : Bagots,720,265,199,172,84
E05006920 : Branston,"2,333",516,756,527,534
E05006921 : Brizlincote,"1,642",460,509,363,310
E05006922 : Burton,"1,459",192,378,290,599
E05006923 : Churnet,822,175,210,231,206
E05006924 : Crown,682,230,197,162,93
E05006925 : Eton Park,"2,055",213,428,417,997
E05006926 : Heath,"1,826",252,449,535,590
E05006927 : Horninglow,"2,691",334,675,602,"1,080"
E05006928 : Needwood,"1,568",565,485,294,224
E05006929 : Rolleston on Dove,861,324,253,159,125
E05006930 : Shobnall,"2,339",226,512,450,"1,151"
E05006931 : Stapenhill,"2,665",232,562,664,"1,207"
E05006932 : Stretton,"2,292",584,693,544,471
E05006933 : Town,"2,168",525,624,490,529
E05006934 : Tutbury and Outwoods,"1,695",469,490,380,356
E05006935 : Weaver,607,166,138,172,131
E05006936 : Winshill,"2,526",455,624,584,863
E05006937 : Yoxall,684,264,193,140,87
E05006938 : All Saints,915,181,307,242,185
E05006939 : Alrewas and Fradley,"1,692",615,549,269,259
E05006940 : Armitage with Handsacre,"1,561",331,462,363,405
E05006941 : Boley Park,"1,502",616,514,185,187
E05006942 : Boney Hay,865,137,205,262,261
E05006943 : Bourne Vale,499,158,161,107,73
E05006944 : Burntwood Central,830,126,232,288,184
E05006945 : Chadsmead,"1,132",206,279,233,414
E05006946 : Chase Terrace,"1,575",258,510,472,335
E05006947 : Chasetown,"1,128",128,288,338,374
E05006948 : Colton and Mavesyn Ridware,465,146,133,108,78
E05006949 : Curborough,"1,428",274,365,315,474
E05006950 : Fazeley,"1,372",224,418,366,364
E05006951 : Hammerwich,852,215,265,240,132
E05006952 : Highfield,"1,155",404,417,208,126
E05006953 : King's Bromley,426,156,136,92,42
E05006954 : Leomansley,"2,157",906,658,280,313
E05006955 : Little Aston,665,321,235,64,45
E05006956 : Longdon,459,170,163,85,41
E05006957 : Mease and Tame,997,359,329,195,114
E05006958 : St John's,"1,966",830,641,266,229
E05006959 : Shenstone,842,316,292,140,94
E05006960 : Stonnall,395,132,154,69,40
E05006961 : Stowe,"1,503",395,440,267,401
E05006962 : Summerfield,"1,164",126,286,370,382
E05006963 : Whittington,932,337,322,162,111
E05006964 : Audley and Bignall End,"1,839",356,531,472,480
E05006965 : Bradwell,"1,840",262,482,501,595
E05006966 : Butt Lane,"1,646",186,424,446,590
E05006967 : Chesterton,"2,372",349,651,556,816
E05006968 : Clayton,"1,222",258,376,275,313
E05006969 : Cross Heath,"1,909",183,483,441,802
E05006970 : Halmerend,"1,126",286,304,307,229
E05006971 : Holditch,"1,502",115,309,398,680
E05006972 : Keele,299,178,64,23,34
E05006973 : Kidsgrove,"2,061",275,519,648,619
E05006974 : Knutton and Silverdale,"1,401",125,315,366,595
E05006975 : Loggerheads and Whitmore,"1,846",668,556,347,275
E05006976 : Madeley,"1,247",313,383,268,283
E05006977 : May Bank,"2,048",443,703,444,458
E05006978 : Newchapel,"1,026",179,294,313,240
E05006979 : Porthill,"1,354",253,454,310,337
E05006980 : Ravenscliffe,"1,290",209,394,359,328
E05006981 : Seabridge,"1,759",482,542,368,367
E05006982 : Silverdale and Parksite,"1,149",110,282,301,456
E05006983 : Talke,"1,152",130,281,328,413
E05006984 : Thistleberry,"1,810",387,631,312,480
E05006985 : Town,"2,038",351,779,285,623
E05006986 : Westlands,"1,578",629,492,218,239
E05006987 : Wolstanton,"1,991",376,648,467,500
E05006988 : Bilbrook,"1,240",246,373,303,318
E05006989 : Brewood and Coven,"1,767",473,568,433,293
E05006990 : Cheslyn Hay North and Saredon,"1,220",194,371,359,296
E05006991 : Cheslyn Hay South,"1,087",225,354,304,204
E05006992 : Codsall North,"1,072",294,372,215,191
E05006993 : Codsall South,"1,064",379,354,222,109
E05006994 : Essington,"1,298",246,416,359,277
E05006995 : Featherstone and Shareshill,"1,516",278,487,386,365
E05006996 : Great Wyrley Landywood,"1,425",251,427,389,358
E05006997 : Great Wyrley Town,"1,635",248,486,508,393
E05006998 : Himley and Swindon,513,140,141,119,113
E05006999 : Huntington and Hatherton,"1,602",290,466,440,406
E05007000 : Kinver,"1,924",703,611,358,252
E05007001 : Pattingham and Patshull,625,226,193,122,84
E05007002 : Penkridge North East and Acton Trussell,"1,012",292,309,237,174
E05007003 : Penkridge South East,"1,289",338,444,288,219
E05007004 : Penkridge West,618,150,189,153,126
E05007005 : Perton Dippons,573,151,229,117,76
E05007006 : Perton East,663,198,254,136,75
E05007007 : Perton Lakeside,"2,228",511,829,480,408
E05007008 : Trysull and Seisdon,590,157,204,139,90
"E05007009 : Wheaton Aston, Bishopswood and Lapley","1,140",370,344,258,168
E05007010 : Wombourne North and Lower Penn,"1,679",552,569,345,213
E05007011 : Wombourne South East,926,243,330,230,123
E05007012 : Wombourne South West,"1,445",291,450,369,335
E05007013 : Barlaston and Oulton,"1,120",323,358,220,219
E05007014 : Baswich,"1,152",353,423,212,164
E05007015 : Chartley,542,208,168,101,65
E05007016 : Church Eaton,605,210,182,126,87
E05007017 : Common,"1,716",300,607,342,467
E05007018 : Coton,"1,813",239,861,312,401
E05007019 : Eccleshall,"1,815",611,531,386,287
E05007020 : Forebridge,"2,092",521,820,327,424
E05007021 : Fulford,"1,601",431,493,354,323
E05007022 : Gnosall and Woodseaves,"1,865",576,574,410,305
E05007023 : Haywood and Hixon,"1,886",565,651,388,282
E05007024 : Highfields and Western Downs,"2,254",323,606,503,822
E05007025 : Holmcroft,"1,975",360,651,423,541
E05007026 : Littleworth,"2,024",492,720,379,433
E05007027 : Manor,"2,045",281,573,497,694
E05007028 : Milford,"1,151",458,390,182,121
E05007029 : Milwich,519,185,144,132,58
E05007030 : Penkside,"1,518",277,438,308,495
E05007031 : Rowley,"1,368",472,454,236,206
E05007032 : St. Michael's,"1,527",554,510,208,255
E05007033 : Seighford,889,256,320,198,115
E05007034 : Stonefield and Christchurch,"1,849",562,581,308,398
E05007035 : Swynnerton,"1,296",471,401,232,192
E05007036 : Tillington,"1,334",273,384,295,382
E05007037 : Walton,"1,798",397,561,412,428
E05007038 : Weeping Cross,"1,720",579,618,314,209
E05007039 : Alton,372,122,108,85,57
E05007040 : Bagnall and Stanley,419,129,127,108,55
E05007041 : Biddulph East,"1,921",230,440,503,748
E05007042 : Biddulph Moor,483,140,137,123,83
E05007043 : Biddulph North,"1,390",350,442,333,265
E05007044 : Biddulph South,381,72,122,106,81
E05007045 : Biddulph West,"1,676",275,455,481,465
E05007046 : Brown Edge and Endon,"1,210",295,357,323,235
E05007047 : Caverswall,474,116,139,139,80
E05007048 : Cellarhead,824,166,264,237,157
E05007049 : Cheadle North East,"1,054",111,250,335,358
E05007050 : Cheadle South East,"1,002",180,269,297,256
E05007051 : Cheadle West,"1,470",284,420,398,368
E05007052 : Checkley,"1,718",410,478,453,377
E05007053 : Cheddleton,"1,613",415,548,405,245
E05007054 : Churnet,964,197,260,312,195
E05007055 : Dane,459,111,109,163,76
E05007056 : Forsbrook,"1,491",293,460,382,356
E05007057 : Hamps Valley,521,125,136,168,92
E05007058 : Horton,503,178,138,137,50
E05007059 : Ipstones,527,141,124,176,86
E05007060 : Leek East,"1,654",297,485,408,464
E05007061 : Leek North,"1,678",182,380,472,644
E05007062 : Leek South,"1,893",317,541,488,547
E05007063 : Leek West,"1,440",313,479,354,294
E05007064 : Manifold,576,123,142,210,101
E05007065 : Werrington,916,180,328,252,156
E05007066 : Amington,"2,446",423,682,561,780
E05007067 : Belgrave,"2,360",263,604,661,832
E05007068 : Bolehall,"2,376",298,741,573,764
E05007069 : Castle,"2,553",468,796,545,744
E05007070 : Glascote,"2,502",225,633,611,"1,033"
E05007071 : Mercian,"1,926",294,552,504,576
E05007072 : Spital,"2,021",381,639,425,576
E05007073 : Stonydelph,"2,678",394,792,672,820
E05007074 : Trinity,"2,245",445,797,577,426
E05007075 : Wilnecote,"3,043",588,975,730,750
E05007457 : Arley and Whitacre,"1,726",310,464,450,502
E05007458 : Atherstone Central,"1,445",162,342,369,572
E05007459 : Atherstone North,931,164,242,256,269
E05007460 : Atherstone South and Mancetter,"1,049",178,239,277,355
E05007461 : Baddesley and Grendon,"1,146",189,331,364,262
E05007462 : Coleshill North,"1,015",201,388,248,178
E05007463 : Coleshill South,963,231,338,201,193
E05007464 : Curdworth,876,245,314,203,114
E05007465 : Dordon,952,100,239,253,360
E05007466 : Fillongley,923,280,298,218,127
E05007467 : Hartshill,"1,170",189,345,312,324
E05007468 : Hurley and Wood End,"1,158",199,336,305,318
E05007469 : Kingsbury,"1,110",201,353,286,270
E05007470 : Newton Regis and Warton,976,251,304,221,200
E05007471 : Polesworth East,967,168,254,278,267
E05007472 : Polesworth West,"1,059",185,335,293,246
E05007473 : Water Orton,"1,035",254,378,258,145
E05007474 : Abbey,"3,187",393,775,681,"1,338"
E05007475 : Arbury,"2,191",334,669,589,599
E05007476 : Attleborough,"2,514",453,737,605,719
E05007477 : Bar Pool,"2,434",222,586,656,970
E05007478 : Bede,"2,015",196,460,559,800
E05007479 : Bulkington,"1,572",343,433,424,372
E05007480 : Camp Hill,"2,371",182,518,603,"1,068"
E05007481 : Exhall,"2,366",320,705,622,719
E05007482 : Galley Common,"2,694",469,856,723,646
E05007483 : Heath,"2,237",319,608,635,675
E05007484 : Kingswood,"2,204",199,540,607,858
E05007485 : Poplar,"2,673",359,778,686,850
E05007486 : St Nicolas,"1,911",594,696,360,261
E05007487 : Slough,"2,203",307,662,627,607
E05007488 : Weddington,"2,017",549,653,460,355
E05007489 : Wem Brook,"2,396",203,527,595,"1,071"
E05007490 : Whitestone,"1,914",605,672,377,260
E05007491 : Admirals,"2,420",746,693,486,495
E05007492 : Avon and Swift,827,270,255,180,122
E05007493 : Benn,"2,589",438,687,512,952
E05007494 : Bilton,"1,272",408,379,247,238
E05007495 : Brownsover North,"2,251",740,699,394,418
E05007496 : Brownsover South,"1,695",241,430,401,623
E05007497 : Caldecott,"1,548",467,427,284,370
E05007498 : Dunchurch and Knightlow,"1,496",632,428,255,181
E05007499 : Earl Craven and Wolston,"1,678",452,552,410,264
E05007500 : Eastlands,"1,737",470,572,391,304
E05007501 : Fosse,"1,082",353,334,214,181
E05007502 : Hillmorton,"1,489",328,395,382,384
E05007503 : Lawford and King's Newnham,"1,168",277,299,285,307
E05007504 : Leam Valley,527,234,149,100,44
E05007505 : New Bilton,"2,776",438,742,604,992
E05007506 : Newbold,"2,337",324,550,518,945
E05007507 : Overslade,"1,642",328,447,338,529
E05007508 : Paddox,"1,070",233,342,283,212
E05007509 : Ryton-on-Dunsmore,515,168,134,119,94
E05007510 : Wolvey,606,189,232,113,72
E05008585 : Alcester,"1,806",417,523,426,440
E05007512 : Aston Cantlow,519,202,169,75,73
E05007944 : Bardon,570,225,163,97,85
E05008586 : Bidford and Salford,"2,004",537,605,511,351
E05007515 : Brailes,606,188,176,162,80
E05007945 : Burton Dassett,704,254,243,122,85
E05007517 : Claverdon,567,245,158,91,73
E05008587 : Ettington,679,270,201,139,69
E05007519 : Fenny Compton,721,286,209,143,83
E05007520 : Harbury,"1,306",461,387,270,188
E05007947 : Henley,"1,180",393,405,174,208
E05008588 : Kineton,"1,297",441,369,260,227
E05007949 : Kinwarton,563,191,182,107,83
