KS105EW - Household composition,
ONS Crown Copyright Reserved [from Nomis on 19 December 2025],
,
population,All households
units,Households
rural urban,Total
household composition,All categories: Household composition
,
E05003213 : Greystoke,639
E05003214 : Hartside,531
E05003215 : Hesket,"1,260"
E05003216 : Kirkby Stephen,"1,170"
E05003217 : Kirkby Thore,640
E05003218 : Kirkoswald,600
E05003219 : Langwathby,644
E05003220 : Lazonby,625
E05003221 : Long Marton,538
E05003222 : Morland,532
E05003223 : Orton with Tebay,589
E05003224 : Penrith Carleton,696
E05003225 : Penrith East,"1,200"
E05003226 : Penrith North,"1,823"
E05003227 : Penrith Pategill,663
E05003228 : Penrith South,"1,160"
E05003229 : Penrith West,"1,488"
E05003230 : Ravenstonedale,420
E05003231 : Shap,620
E05003232 : Skelton,608
E05003233 : Ullswater,595
E05003234 : Warcop,563
E05003235 : Ambleside and Grasmere,"1,775"
E05003236 : Arnside and Beetham,"1,928"
E05003237 : Broughton,998
E05003238 : Burneside,826
E05003239 : Burton and Holme,"1,609"
E05003240 : Cartmel and Grange West,822
E05003241 : Coniston and Crake Valley,717
E05003242 : Crooklands,913
E05003243 : Grange North,"1,007"
E05003244 : Grange South,"1,084"
E05003245 : Hawkshead,804
E05003246 : Holker,831
E05003247 : Kendal Castle,790
E05003248 : Kendal Far Cross,953
E05003249 : Kendal Fell,"1,223"
E05003250 : Kendal Heron Hill,895
E05003251 : Kendal Highgate,"1,077"
E05003252 : Kendal Kirkland,841
E05003253 : Kendal Mintsfeet,"1,006"
E05003254 : Kendal Nether,909
E05003255 : Kendal Oxenholme and Natland,889
E05003256 : Kendal Parks,840
E05003257 : Kendal Romney,942
E05003258 : Kendal Stonecross,"1,040"
E05003259 : Kendal Strickland,893
E05003260 : Kendal Underley,934
E05003261 : Levens,943
E05003262 : Low Furness,728
E05003263 : Lyth Valley,965
E05003264 : Mid Furness,"1,725"
E05003265 : Milnthorpe,947
E05003266 : Sedbergh and Kirkby Lonsdale,"2,719"
E05003267 : Staveley-in-Cartmel,914
E05003268 : Staveley-in-Westmorland,960
E05003269 : Ulverston Central,774
E05003270 : Ulverston East,"1,005"
E05003271 : Ulverston North,960
E05003272 : Ulverston South,739
E05003273 : Ulverston Town,"1,006"
E05003274 : Ulverston West,904
E05003275 : Whinfell,790
E05003276 : Windermere Applethwaite and Troutbeck,"1,030"
E05003277 : Windermere Bowness North,896
E05003278 : Windermere Bowness South,"1,059"
E05003279 : Windermere Town,942
E05000650 : Astley Bridge,"5,908"
E05000651 : Bradshaw,"4,936"
E05000652 : Breightmet,"5,897"
E05000653 : Bromley Cross,"5,913"
E05000654 : Crompton,"6,371"
E05000655 : Farnworth,"6,847"
E05000656 : Great Lever,"5,388"
E05000657 : Halliwell,"6,302"
E05000658 : Harper Green,"5,514"
E05000659 : Heaton and Lostock,"5,412"
E05000660 : Horwich and Blackrod,"5,560"
E05000661 : Horwich North East,"5,418"
E05000662 : Hulton,"5,873"
E05000663 : Kearsley,"6,275"
E05000664 : Little Lever and Darcy Lever,"5,521"
E05000665 : Rumworth,"5,982"
E05000666 : Smithills,"5,965"
E05000667 : Tonge with the Haulgh,"5,856"
E05000668 : Westhoughton North and Chew Moor,"6,020"
E05000669 : Westhoughton South,"5,413"
E05000670 : Besses,"4,555"
E05000671 : Church,"4,452"
E05000672 : East,"4,493"
E05000673 : Elton,"4,775"
E05000674 : Holyrood,"4,765"
E05000675 : Moorside,"5,095"
E05000676 : North Manor,"4,189"
E05000677 : Pilkington Park,"4,171"
E05000678 : Radcliffe East,"4,824"
E05000679 : Radcliffe North,"4,894"
E05000680 : Radcliffe West,"4,850"
E05000681 : Ramsbottom,"5,003"
E05000682 : Redvales,"4,817"
E05000683 : St Mary's,"4,582"
